latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
51.52846,-3.53415,328.6,0.39,0.36,2026-08-05,1312,N,VIIRS,n,2.0NRT,294.65,2.21,D
51.68267,-5.03312,297.11,0.58,0.7,2026-08-06,124,N,VIIRS,n,2.0NRT,284.99,1.02,N
51.66809,-3.43579,305.85,0.55,0.43,2026-08-06,304,N,VIIRS,n,2.0NRT,282.67,1.56,N
51.68195,-5.02981,295.67,0.49,0.4,2026-08-06,304,N,VIIRS,n,2.0NRT,285.37,0.69,N
51.68552,-5.02791,298.7,0.49,0.4,2026-08-06,304,N,VIIRS,n,2.0NRT,288.54,0.69,N
51.85658,-3.41405,299.26,0.55,0.42,2026-08-06,304,N,VIIRS,n,2.0NRT,280.22,1.38,N
51.36636,-2.68795,339.56,0.4,0.37,2026-08-06,1253,N,VIIRS,n,2.0NRT,290.78,1.64,D
51.39707,-3.39419,305.01,0.41,0.37,2026-08-07,245,N,VIIRS,n,2.0NRT,281.57,1.03,N
51.48223,-3.13858,304.34,0.41,0.37,2026-08-07,245,N,VIIRS,n,2.0NRT,283.87,0.37,N
51.67082,-3.4384,299,0.41,0.37,2026-08-07,245,N,VIIRS,n,2.0NRT,282.31,0.76,N
51.68322,-5.03165,304.35,0.39,0.36,2026-08-07,245,N,VIIRS,n,2.0NRT,287.4,1.94,N
51.85558,-4.94241,295.26,0.39,0.36,2026-08-07,245,N,VIIRS,n,2.0NRT,279.09,0.28,N
52.15958,-3.22959,308.72,0.41,0.37,2026-08-07,245,N,VIIRS,n,2.0NRT,278.86,2.09,N
51.39895,-3.3968,304.46,0.39,0.36,2026-08-08,226,N,VIIRS,n,2.0NRT,280.71,0.68,N
51.6699,-3.44051,296.03,0.39,0.37,2026-08-08,226,N,VIIRS,n,2.0NRT,279.75,0.59,N
51.68502,-5.03177,305.87,0.42,0.38,2026-08-08,226,N,VIIRS,n,2.0NRT,289.45,1.57,N
51.74206,-3.04026,298.22,0.39,0.36,2026-08-08,226,N,VIIRS,n,2.0NRT,281.84,0.74,N
51.82217,-3.19846,319.13,0.39,0.36,2026-08-08,226,N,VIIRS,n,2.0NRT,277.7,1.95,N
51.82297,-3.20407,333.11,0.39,0.36,2026-08-08,226,N,VIIRS,n,2.0NRT,280.15,4.31,N
52.16042,-3.22996,302.37,0.39,0.37,2026-08-08,226,N,VIIRS,n,2.0NRT,280.89,1.08,N
51.68566,-5.03121,295.18,0.62,0.71,2026-08-08,406,N,VIIRS,n,2.0NRT,284.34,1.22,N
51.6859,-5.02639,297.69,0.62,0.71,2026-08-08,406,N,VIIRS,n,2.0NRT,284.91,1.46,N
51.82344,-3.20156,322.66,0.71,0.75,2026-08-08,406,N,VIIRS,n,2.0NRT,278.26,4.02,N
51.82438,-3.19928,323.18,0.71,0.75,2026-08-08,406,N,VIIRS,n,2.0NRT,278.41,3.46,N
