station_code,station_name,site_type,previous_valid_days,previous_pm25_mean,recent_valid_days,recent_pm25_mean,previous_coverage_pct,recent_coverage_pct,pm25_change,pm25_change_pct,raw_previous_pm25_mean,raw_recent_pm25_mean,raw_pm25_change_pct,previous_start_utc,previous_end_utc,recent_start_utc,recent_end_utc
CARD,Cardiff Centre,Urban Background,70,8.235871917937136,64,7.03024605037173,100.0,91.4,-1.2056258675654057,-14.6,8.235871917937136,7.03024605037173,-14.6,2026-03-25T00:00:00+00:00,2026-06-02T00:00:00+00:00,2026-06-03T00:00:00+00:00,2026-08-11T00:00:00+00:00
CHP,Chepstow A48,Urban Traffic,70,8.454830176089574,66,6.786490139139921,100.0,94.3,-1.6683400369496537,-19.7,8.454830176089574,6.786490139139921,-19.7,2026-03-25T00:00:00+00:00,2026-06-02T00:00:00+00:00,2026-06-03T00:00:00+00:00,2026-08-11T00:00:00+00:00
PEMB,Narberth,Rural Background,70,6.224255724167137,66,5.198820622492872,100.0,94.3,-1.0254351016742653,-16.5,6.224255724167137,5.198820622492872,-16.5,2026-03-25T00:00:00+00:00,2026-06-02T00:00:00+00:00,2026-06-03T00:00:00+00:00,2026-08-11T00:00:00+00:00
NPT3,Newport,Urban Background,70,6.795385714285715,70,6.680040113871636,100.0,100.0,-0.11534560041407893,-1.7,6.795385714285715,6.680040113871636,-1.7,2026-03-25T00:00:00+00:00,2026-06-02T00:00:00+00:00,2026-06-03T00:00:00+00:00,2026-08-11T00:00:00+00:00
PT4,Port Talbot Margam,Urban Industrial,66,7.906710740949872,60,9.98816856452726,94.3,85.7,2.081457823577389,26.3,7.906710740949872,9.98816856452726,26.3,2026-03-25T00:00:00+00:00,2026-06-02T00:00:00+00:00,2026-06-03T00:00:00+00:00,2026-08-11T00:00:00+00:00
SWA1,Swansea Roadside,Urban Traffic,68,8.908053982462551,64,10.026064826251647,97.1,91.4,1.1180108437890954,12.6,8.908053982462551,10.309754302536232,15.7,2026-03-25T00:00:00+00:00,2026-06-02T00:00:00+00:00,2026-06-03T00:00:00+00:00,2026-08-11T00:00:00+00:00
WREX,Wrexham,Urban Traffic,70,5.362232039337474,70,4.982848498964803,100.0,100.0,-0.37938354037267086,-7.1,5.362232039337474,4.982848498964803,-7.1,2026-03-25T00:00:00+00:00,2026-06-02T00:00:00+00:00,2026-06-03T00:00:00+00:00,2026-08-11T00:00:00+00:00
