date,sites_reporting,network_median_pm25,network_mean_pm25,max_station,max_pm25,stations_above_rolling_p90
2026-07-18 00:00:00+00:00,7,16.375,16.83980952380952,Port Talbot Margam,20.583333333333332,7
2026-07-17 00:00:00+00:00,6,14.840395833333334,15.419020833333333,Port Talbot Margam,18.083333333333332,6
2026-06-25 00:00:00+00:00,7,14.19047619047619,14.823493351886208,Swansea Roadside,22.125,6
2026-07-16 00:00:00+00:00,5,13.411916666666668,14.071316666666666,Swansea Roadside,17.375,4
2026-06-26 00:00:00+00:00,7,12.583333333333334,12.553886904761905,Swansea Roadside,15.041666666666666,5
2026-06-23 00:00:00+00:00,7,12.571833333333332,12.951982142857144,Swansea Roadside,18.875,5
2026-07-08 00:00:00+00:00,7,12.208333333333334,11.909092814793903,Newport,15.762625,4
2026-07-22 00:00:00+00:00,5,12.208333333333334,12.532508333333334,Newport,22.695666666666668,3
2026-06-24 00:00:00+00:00,7,12.11575,14.366735766045549,Swansea Roadside,23.666666666666668,5
2026-07-15 00:00:00+00:00,6,11.701812499999999,11.641979166666667,Port Talbot Margam,14.25,3
2026-07-14 00:00:00+00:00,6,11.183712121212121,11.530946338383837,Wrexham,18.00916666666667,2
2026-07-10 00:00:00+00:00,7,10.731250000000001,11.090255952380954,Swansea Roadside,14.75,2
2026-07-21 00:00:00+00:00,6,10.229166666666668,10.625655753968255,Newport,16.331625,2
2026-07-09 00:00:00+00:00,7,10.126833333333334,10.173059523809524,Port Talbot Margam,16.333333333333332,3
2026-07-23 00:00:00+00:00,5,10.083333333333334,10.07754347826087,Port Talbot Margam,14.565217391304348,2
