station_code,station_name,site_type,valid_pm25_days,expected_days,pm25_daily_coverage_pct,pm25_daily_mean,pm25_daily_median,pm25_daily_p95,pm25_daily_max,pm25_daily_mean_raw,pm25_daily_max_raw
CARD,Cardiff Centre,Urban Background,344,365,94.2,7.81522730829164,6.979166666666666,14.03822463768115,29.458333333333332,7.81522730829164,29.458333333333332
CHP,Chepstow A48,Urban Traffic,355,365,97.3,8.054530383884334,7.333333333333333,13.833333333333334,27.625,8.054530383884334,27.625
PEMB,Narberth,Rural Background,347,365,95.1,5.652995332715038,4.648125,11.612508333333334,30.695791666666665,5.652995332715038,30.695791666666665
NPT3,Newport,Urban Background,365,365,100.0,6.735873145541177,5.626,14.75371666666667,26.368041666666667,6.735873145541177,26.368041666666667
PT4,Port Talbot Margam,Urban Industrial,345,365,94.5,7.487193462212365,6.434782608695652,14.691666666666668,24.166666666666668,7.487193462212365,24.166666666666668
SWA1,Swansea Roadside,Urban Traffic,291,365,79.7,8.33304610748582,7.416666666666667,15.5625,24.125,8.39543829470992,30.565217391304348
WREX,Wrexham,Urban Traffic,359,365,98.4,5.859841682635912,4.322,14.972591666666666,28.350166666666667,5.859841682635912,28.350166666666667
