date,sites_reporting,network_median_pm25,network_mean_pm25,max_station,max_pm25,stations_above_rolling_p90
2026-06-03 00:00:00+00:00,7,5.191708333333334,5.136089803312629,Port Talbot Margam,7.583333333333333,0
2026-06-04 00:00:00+00:00,7,5.583333333333333,5.288720238095237,Swansea Roadside,7.5,0
2026-06-05 00:00:00+00:00,7,5.458333333333333,5.367678571428571,Chepstow A48,7.208333333333333,0
2026-06-06 00:00:00+00:00,7,5.083333333333333,4.88930357142857,Swansea Roadside,6.916666666666667,0
2026-06-07 00:00:00+00:00,7,9.791666666666666,9.261654761904762,Port Talbot Margam,11.166666666666666,0
2026-06-08 00:00:00+00:00,7,5.708333333333333,4.749107919254658,Chepstow A48,6.375,0
2026-06-09 00:00:00+00:00,7,6.5,5.762901915113871,Swansea Roadside,7.333333333333333,0
2026-06-10 00:00:00+00:00,7,6.125,5.0796516563147005,Chepstow A48,7.25,0
2026-06-11 00:00:00+00:00,7,4.0,4.590255952380952,Swansea Roadside,8.541666666666666,0
2026-06-12 00:00:00+00:00,7,3.7568750000000004,4.026684523809524,Swansea Roadside,6.416666666666667,0
2026-06-13 00:00:00+00:00,7,6.833333333333333,6.329928571428572,Swansea Roadside,9.0,0
2026-06-14 00:00:00+00:00,7,6.75,6.691107142857143,Swansea Roadside,11.625,0
2026-06-15 00:00:00+00:00,7,7.636363636363637,7.017361471861472,Swansea Roadside,8.958333333333334,0
2026-06-16 00:00:00+00:00,7,4.833333333333333,4.400744047619048,Port Talbot Margam,6.875,0
2026-06-17 00:00:00+00:00,7,3.625,4.056261904761905,Swansea Roadside,6.5,0
2026-06-18 00:00:00+00:00,7,3.25,3.67402380952381,Swansea Roadside,5.666666666666667,0
2026-06-19 00:00:00+00:00,7,3.2921666666666667,3.4657678571428567,Swansea Roadside,6.333333333333333,0
2026-06-20 00:00:00+00:00,6,3.0111041666666667,3.6810902777777774,Swansea Roadside,8.083333333333334,0
2026-06-21 00:00:00+00:00,6,3.5888333333333335,4.3262430555555556,Swansea Roadside,8.291666666666666,0
2026-06-22 00:00:00+00:00,6,6.113979166666667,6.856807971014493,Swansea Roadside,13.304347826086957,0
2026-06-23 00:00:00+00:00,7,12.571833333333332,12.951982142857144,Swansea Roadside,18.875,5
2026-06-24 00:00:00+00:00,7,12.11575,14.366735766045549,Swansea Roadside,23.666666666666668,5
2026-06-25 00:00:00+00:00,7,14.19047619047619,14.823493351886208,Swansea Roadside,22.125,6
2026-06-26 00:00:00+00:00,7,12.583333333333334,12.553886904761905,Swansea Roadside,15.041666666666666,5
2026-06-27 00:00:00+00:00,7,4.929250000000001,5.309678571428572,Swansea Roadside,8.333333333333334,0
2026-06-28 00:00:00+00:00,7,5.208333333333333,4.761970238095238,Swansea Roadside,7.458333333333333,0
2026-06-29 00:00:00+00:00,7,5.409090909090909,5.853828463203463,Swansea Roadside,8.25,0
2026-06-30 00:00:00+00:00,7,5.375,5.335136904761904,Swansea Roadside,7.625,0
2026-07-01 00:00:00+00:00,7,3.4583333333333335,4.668208592132506,Port Talbot Margam,9.166666666666666,0
2026-07-02 00:00:00+00:00,7,4.166666666666667,4.86635119047619,Port Talbot Margam,8.541666666666666,0
2026-07-03 00:00:00+00:00,6,5.791666666666666,6.235840277777776,Port Talbot Margam,8.916666666666666,0
2026-07-04 00:00:00+00:00,6,3.770833333333333,4.541916666666666,Swansea Roadside,8.333333333333334,0
2026-07-05 00:00:00+00:00,7,4.208333333333333,4.666371894409937,Port Talbot Margam,8.5,0
