station_code,station_name,site_type,latitude,longitude,date,pm25,pm25_hours,pm10,pm10_hours,no2,no2_hours,o3,o3_hours
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-16 00:00:00+00:00,8.875,24,18.438208333333332,24,4.616245416666667,24,74.27122374999999,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-16 00:00:00+00:00,10.583333333333334,24,15.177291666666667,24,16.707551666666667,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-16 00:00:00+00:00,12.824291666666667,24,18.420833333333334,24,10.180948333333333,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-17 00:00:00+00:00,5.291666666666667,24,11.956708333333333,24,5.017073333333333,24,70.75865333333334,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-17 00:00:00+00:00,4.956521739130435,23,14.774791666666667,24,12.812119583333333,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-17 00:00:00+00:00,5.219166666666667,24,10.610416666666667,24,8.3896125,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-17 00:00:00+00:00,5.970041666666667,24,13.901041666666666,24,4.48746875,24,68.73731291666667,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-17 00:00:00+00:00,5.625,24,12.922958333333334,24,3.5672804166666663,24,74.25251333333333,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-17 00:00:00+00:00,7.583333333333333,24,13.526791666666666,24,14.693302916666667,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-17 00:00:00+00:00,7.6375416666666665,24,12.78125,24,7.13781875,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-18 00:00:00+00:00,5.125,24,11.996958333333334,24,7.2998225,24,58.26820500000002,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-18 00:00:00+00:00,4.583333333333333,24,15.620291666666667,24,13.895125833333333,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-18 00:00:00+00:00,5.190625,24,11.435416666666667,24,9.320120416666667,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-18 00:00:00+00:00,8.185958333333334,24,14.494791666666666,24,5.183190833333334,24,45.246955833333345,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-18 00:00:00+00:00,7.208333333333333,24,13.245,24,6.466481666666667,24,55.499170416666665,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-18 00:00:00+00:00,10.041666666666666,24,15.096833333333334,24,18.101800416666666,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-18 00:00:00+00:00,6.374875,24,12.035416666666668,24,8.740046666666666,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-19 00:00:00+00:00,,13,,13,7.483076666666666,24,65.16930666666666,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-19 00:00:00+00:00,6.375,24,15.298166666666667,24,15.415642173913044,23,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-19 00:00:00+00:00,5.3468333333333335,24,12.942708333333334,24,7.989306666666667,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-19 00:00:00+00:00,7.727083333333333,24,12.010416666666666,24,4.596007916666667,24,59.21477624999999,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-19 00:00:00+00:00,6.916666666666667,24,13.083958333333333,24,5.3285575,24,65.78464874999999,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-19 00:00:00+00:00,8.043478260869565,23,12.812652173913042,23,15.214904347826087,23,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-19 00:00:00+00:00,4.2757499999999995,24,7.8500000000000005,24,12.142813333333335,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-20 00:00:00+00:00,,16,,16,,10,,10
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-20 00:00:00+00:00,6.833333333333333,24,11.312624999999999,24,14.886764782608697,23,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-20 00:00:00+00:00,4.183416666666667,24,9.583333333333334,24,10.166767916666666,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-20 00:00:00+00:00,3.229125,24,5.871875,24,3.885475,24,54.03981458333333,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-20 00:00:00+00:00,4.681818181818182,22,8.080863636363636,22,6.012736818181819,22,51.86023136363637,22
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-20 00:00:00+00:00,6.208333333333333,24,8.253,24,14.783055,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-20 00:00:00+00:00,4.179541666666666,24,9.197916666666666,24,14.209407083333334,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-21 00:00:00+00:00,8.590909090909092,22,17.601608695652175,23,,11,,12
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-21 00:00:00+00:00,7.875,24,15.499416666666667,24,17.266017916666666,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-21 00:00:00+00:00,5.553333333333334,24,13.666666666666666,24,13.100269583333334,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-21 00:00:00+00:00,5.752833333333334,24,10.995833333333332,24,4.210395833333333,24,59.88208958333334,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-21 00:00:00+00:00,6.625,24,15.741,24,4.90765625,24,60.758672916666676,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-21 00:00:00+00:00,10.25,24,15.8215,24,14.944544166666667,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-21 00:00:00+00:00,4.049833333333333,24,9.393749999999999,24,12.875520416666667,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-22 00:00:00+00:00,8.791666666666666,24,17.391625,24,20.431497916666668,24,53.016325833333326,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-22 00:00:00+00:00,6.958333333333333,24,15.016375000000002,24,21.773140416666667,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-22 00:00:00+00:00,6.628416666666666,24,16.945833333333333,24,10.806154583333333,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-22 00:00:00+00:00,4.949916666666667,24,10.997916666666667,24,4.0845787499999995,24,63.97234999999999,18
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-22 00:00:00+00:00,7.375,24,15.942291666666668,24,9.409588333333334,24,55.47768916666667,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-22 00:00:00+00:00,7.416666666666667,24,15.177375,24,16.89614125,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-22 00:00:00+00:00,4.7956666666666665,24,10.101041666666667,24,12.577152916666668,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-23 00:00:00+00:00,9.5,24,14.976125000000001,24,14.545565833333333,24,61.46340375,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-23 00:00:00+00:00,8.291666666666666,24,13.325458333333332,24,18.2931675,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-23 00:00:00+00:00,6.532041666666667,24,12.066666666666668,24,11.597241666666667,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-23 00:00:00+00:00,6.269749999999999,24,10.402083333333334,24,3.7242037499999996,24,62.64834958333333,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-23 00:00:00+00:00,8.916666666666666,24,12.641041666666666,24,8.671365416666667,24,52.44672041666667,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-23 00:00:00+00:00,8.416666666666666,24,13.043708333333333,24,19.932862083333333,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-23 00:00:00+00:00,7.425416666666667,24,13.2875,24,16.753172083333332,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-24 00:00:00+00:00,8.041666666666666,24,17.552583333333335,24,13.059279583333334,24,83.31008166666666,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-24 00:00:00+00:00,8.583333333333334,24,16.58641666666667,24,19.994831739130433,23,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-24 00:00:00+00:00,7.378125,24,15.136458333333332,24,6.959378333333333,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-24 00:00:00+00:00,7.075500000000001,24,13.668750000000001,24,4.045969583333333,24,81.02749874999999,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-24 00:00:00+00:00,9.583333333333334,24,17.673458333333333,24,6.312222916666666,24,83.23455083333333,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-24 00:00:00+00:00,10.25,24,16.344958333333334,24,17.262797083333336,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-24 00:00:00+00:00,8.5495,24,16.782291666666666,24,12.222841666666667,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-25 00:00:00+00:00,6.208333333333333,24,16.26429166666667,24,17.30067875,24,76.19555041666665,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-25 00:00:00+00:00,6.083333333333333,24,13.164458333333334,24,20.60507875,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-25 00:00:00+00:00,5.624,24,13.491666666666667,24,10.170650833333333,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-25 00:00:00+00:00,6.082958333333334,24,13.884375,24,3.6803112500000004,24,80.87089291666666,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-25 00:00:00+00:00,6.625,24,15.418875,24,8.253985416666668,24,83.90117083333332,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-25 00:00:00+00:00,9.0,24,15.660458333333333,24,13.482122500000001,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-25 00:00:00+00:00,9.481208333333333,24,18.751041666666666,24,11.132154166666666,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-26 00:00:00+00:00,5.956521739130435,23,15.239545454545453,22,8.242575652173914,23,64.14373916666666,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-26 00:00:00+00:00,6.708333333333333,24,22.98754166666667,24,16.22360739130435,23,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-26 00:00:00+00:00,6.0565,24,13.158333333333333,24,4.9175683333333335,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-26 00:00:00+00:00,5.514875,24,11.930208333333333,24,2.1237754166666667,24,52.27486833333333,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-26 00:00:00+00:00,4.708333333333333,24,19.485208333333333,24,3.6006062500000002,24,63.10223416666667,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-26 00:00:00+00:00,7.041666666666667,24,14.694250000000002,24,6.0638117391304345,23,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-26 00:00:00+00:00,5.856875,24,10.920833333333334,24,7.23788,23,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-27 00:00:00+00:00,5.333333333333333,24,15.056541666666666,24,9.782934583333333,24,58.501728750000005,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-27 00:00:00+00:00,6.3478260869565215,23,14.787,23,19.515648636363636,22,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-27 00:00:00+00:00,4.8977916666666665,24,12.434375000000001,24,5.488718333333334,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-27 00:00:00+00:00,4.900791666666667,24,10.704166666666666,24,1.78284125,24,55.14507249999999,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-27 00:00:00+00:00,5.083333333333333,24,16.666958333333334,24,5.756892916666668,24,59.370689999999996,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-27 00:00:00+00:00,6.0,24,14.613833333333334,24,6.585007826086957,23,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-27 00:00:00+00:00,3.843227272727273,22,8.161363636363637,22,,10,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-28 00:00:00+00:00,4.458333333333333,24,13.405958333333333,24,8.776487916666666,24,53.75847583333333,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-28 00:00:00+00:00,6.0,24,12.399583333333332,24,14.879831666666666,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-28 00:00:00+00:00,4.321958333333334,24,11.424999999999999,24,7.010427916666667,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-28 00:00:00+00:00,4.3289583333333335,24,9.078125,24,1.4968820833333334,24,50.42399416666666,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-28 00:00:00+00:00,4.25,24,16.626583333333333,24,4.066857083333333,24,56.32794083333332,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-28 00:00:00+00:00,4.958333333333333,24,11.634666666666668,24,6.188041666666667,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-28 00:00:00+00:00,3.071875,24,6.91875,24,,14,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-29 00:00:00+00:00,5.0,24,10.104791666666666,24,9.612433913043478,23,46.74858125,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-29 00:00:00+00:00,5.416666666666667,24,10.225541666666667,24,17.838432916666665,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-29 00:00:00+00:00,3.2095000000000002,24,7.26875,24,5.4759125,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-29 00:00:00+00:00,2.844,24,6.852083333333333,24,1.5504545833333332,24,43.00248583333333,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-29 00:00:00+00:00,5.045454545454546,22,13.746363636363638,22,8.471219166666666,24,47.823348333333335,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-29 00:00:00+00:00,4.125,24,8.091916666666668,24,7.507967916666666,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-29 00:00:00+00:00,2.6080416666666664,24,5.0218750000000005,24,8.431814583333333,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-30 00:00:00+00:00,5.0,24,13.365666666666668,24,12.358520416666666,24,39.62226833333333,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-30 00:00:00+00:00,4.458333333333333,24,11.111291666666666,24,14.577448695652174,23,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-30 00:00:00+00:00,4.398583333333334,24,10.905208333333334,24,5.014342500000001,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-30 00:00:00+00:00,5.0757916666666665,24,11.022916666666667,24,1.7799633333333331,24,43.68227166666666,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-30 00:00:00+00:00,4.458333333333333,24,15.378666666666668,24,5.15329,23,43.08356166666667,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-30 00:00:00+00:00,6.041666666666667,24,12.801958333333333,24,8.297204166666667,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-30 00:00:00+00:00,2.67,24,5.780208333333333,24,9.156664166666667,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-31 00:00:00+00:00,5.041666666666667,24,15.580041666666666,24,5.566296666666666,24,58.48163416666665,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-31 00:00:00+00:00,6.25,24,15.982583333333332,24,8.665163333333334,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-31 00:00:00+00:00,6.256875,24,16.397916666666667,24,2.87034,24,,0
