timestamp,station_code,station_name,site_type,pm25_screened,pm10,no2,pm25_status,pm10_status,pm25_to_pm10_ratio
2026-07-14 05:00:00+00:00,WREX,Wrexham,Urban Traffic,60.378,70.825,9.40089,P,P,0.8524955877162018
2026-07-14 06:00:00+00:00,WREX,Wrexham,Urban Traffic,100.614,113.925,14.2094,P,P,0.8831599736668861
2026-07-21 22:00:00+00:00,NPT3,Newport,Urban Background,183.515,211.6,11.34399,P,P,0.8672731568998109
2026-07-22 10:00:00+00:00,CARD,Cardiff Centre,Urban Background,62.0,63.769,6.26583,P,P,0.9722592482240587
2026-07-22 11:00:00+00:00,CARD,Cardiff Centre,Urban Background,56.0,61.837,10.39061,P,P,0.905606675614923
2026-07-22 12:00:00+00:00,NPT3,Newport,Urban Background,51.58,64.4,9.05569,P,P,0.8009316770186334
