station_code,station_name,site_type,valid_hours,event_pm25_mean,event_pm25_max,event_pm25_max_timestamp_utc,prior_365d_hourly_pm25_p95,hours_at_or_above_prior_p95,event_pm10_mean,event_no2_mean,event_mean_pm25_to_pm10_ratio
SWA1,Swansea Roadside,Urban Traffic,6,35.0,51.0,2026-08-11T00:00:00+00:00,20.0,5,37.842666666666666,9.020625,0.8831143106494438
PT4,Port Talbot Margam,Urban Industrial,24,13.958333333333334,22.0,2026-08-11T08:00:00+00:00,17.0,6,23.108249999999998,12.710156249999999,0.6515314571264681
PEMB,Narberth,Rural Background,24,10.015875,26.793,2026-08-11T07:00:00+00:00,13.726,4,22.766666666666666,3.9684375000000003,0.4500394145512341
CARD,Cardiff Centre,Urban Background,21,7.190476190476191,10.0,2026-08-11T00:00:00+00:00,17.0,0,17.923000000000002,18.0611725,0.42388924362575475
NPT3,Newport,Urban Background,24,5.731083333333333,9.717,2026-08-11T20:00:00+00:00,16.297,0,18.070833333333336,7.58625,0.3202082538689763
WREX,Wrexham,Urban Traffic,24,5.6290000000000004,15.472,2026-08-11T23:00:00+00:00,16.486,0,13.074999999999998,18.4396875,0.4600700171539227
CHP,Chepstow A48,Urban Traffic,20,5.55,9.0,2026-08-11T12:00:00+00:00,16.0,0,17.29505,25.857000000000006,0.3372130455155836
