station_code,station_name,site_type,previous_valid_days,previous_pm25_mean,previous_network_median_mean,previous_site_relative_mean,previous_network_corr,previous_no2_corr,previous_pm10_corr,recent_valid_days,recent_pm25_mean,recent_network_median_mean,recent_site_relative_mean,recent_network_corr,recent_no2_corr,recent_pm10_corr,site_relative_change,previous_start_utc,previous_end_utc,recent_start_utc,recent_end_utc
CARD,Cardiff Centre,Urban Background,70,8.235871917937137,7.243108211328008,0.992763706609126,0.9041357078916912,0.5254531796195976,0.802302387218794,64,7.03024605037173,6.736643604498989,0.2936024458727414,0.8802383326776781,0.4301081601526648,0.93555687820535,-0.6991612607363846,2026-03-25T00:00:00+00:00,2026-06-02T00:00:00+00:00,2026-06-03T00:00:00+00:00,2026-08-11T00:00:00+00:00
CHP,Chepstow A48,Urban Traffic,70,8.454830176089574,7.265584695558065,1.1892454805315098,0.8461377992506663,0.31668709095691955,0.784066864876078,65,6.765897679742073,6.5886619252124685,0.17723575452960483,0.8761845647809767,0.4624632863537145,0.8343687060738055,-1.012009726001905,2026-03-25T00:00:00+00:00,2026-06-02T00:00:00+00:00,2026-06-03T00:00:00+00:00,2026-08-11T00:00:00+00:00
PEMB,Narberth,Rural Background,70,6.224255724167137,7.674683569781666,-1.4504278456145305,0.8216324930288971,0.5493571130306449,0.8521652985691814,65,5.165396708992762,7.141780862615645,-1.9763841536228837,0.7915384792176378,0.5819114250525659,0.9412096605373549,-0.5259563080083531,2026-03-25T00:00:00+00:00,2026-06-02T00:00:00+00:00,2026-06-03T00:00:00+00:00,2026-08-11T00:00:00+00:00
NPT3,Newport,Urban Background,70,6.795385714285714,7.665904859878734,-0.8705191455930198,0.9209555829664715,0.3175468487249844,0.8547081945621963,69,6.678425357067844,7.089910500324608,-0.41148514325676433,0.8346012836661362,0.5803096088979868,0.9575765179944584,0.45903400233625546,2026-03-25T00:00:00+00:00,2026-06-02T00:00:00+00:00,2026-06-03T00:00:00+00:00,2026-08-11T00:00:00+00:00
PT4,Port Talbot Margam,Urban Industrial,66,7.906710740949872,7.364247217730664,0.5424635232192052,0.875277202291275,0.4663754270353721,0.8028238632652074,60,9.98816856452726,6.6425556361362075,3.3456129283910534,0.9147357190040926,0.463190887259371,0.7500162911894295,2.8031494051718484,2026-03-25T00:00:00+00:00,2026-06-02T00:00:00+00:00,2026-06-03T00:00:00+00:00,2026-08-11T00:00:00+00:00
SWA1,Swansea Roadside,Urban Traffic,68,8.90805398246255,7.224372682225063,1.6836813002374864,0.8799187016418093,0.5118813001811665,0.7841937572567218,64,10.026064826251648,6.236750726586028,3.78931409966562,0.8794655165419997,0.7132255718253974,0.8778165260821135,2.1056327994281334,2026-03-25T00:00:00+00:00,2026-06-02T00:00:00+00:00,2026-06-03T00:00:00+00:00,2026-08-11T00:00:00+00:00
WREX,Wrexham,Urban Traffic,70,5.362232039337474,7.7266261461106165,-2.364394106773144,0.7934158221433452,0.6196075637184665,0.8954463325864681,69,4.986315506196178,7.289810752849861,-2.3034952466536818,0.8351137927516254,0.6326720381320419,0.9759245086960454,0.06089886011946222,2026-03-25T00:00:00+00:00,2026-06-02T00:00:00+00:00,2026-06-03T00:00:00+00:00,2026-08-11T00:00:00+00:00
