station_code,station_name,site_type,latitude,longitude,date,pm25,pm25_hours,pm25_screened,pm25_screened_hours,pm10,pm10_hours,no2,no2_hours,o3,o3_hours
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-07 00:00:00+00:00,5.608291666666666,24,5.608291666666666,24,9.920833333333333,24,3.3737629166666667,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-08 00:00:00+00:00,5.708333333333333,24,5.708333333333333,24,11.286863636363636,22,7.17277,24,62.81881583333333,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-08 00:00:00+00:00,6.375,24,6.375,24,10.829458333333333,24,15.828704166666666,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-08 00:00:00+00:00,3.742125,24,3.742125,24,8.547916666666667,24,3.6312795833333333,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-08 00:00:00+00:00,3.3952500000000003,24,3.3952500000000003,24,7.619791666666667,24,0.8256833333333334,24,63.0939175,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-08 00:00:00+00:00,6.0,24,6.0,24,17.955208333333335,24,9.33621,24,61.755829166666665,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-08 00:00:00+00:00,5.739130434782608,23,5.739130434782608,23,12.812652173913042,23,5.720412608695653,23,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-08 00:00:00+00:00,2.283916666666667,24,2.283916666666667,24,4.686458333333333,24,3.2760470833333333,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-09 00:00:00+00:00,6.5,24,6.5,24,13.728083333333332,24,5.35464375,24,60.67066624999999,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-09 00:00:00+00:00,6.956521739130435,23,6.956521739130435,23,11.426304347826088,23,13.557736666666665,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-09 00:00:00+00:00,4.3515,24,4.3515,24,10.157291666666667,24,2.5539645833333333,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-09 00:00:00+00:00,5.443124999999999,24,5.443124999999999,24,11.246875000000001,24,0.35289624999999997,24,59.47532625,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-09 00:00:00+00:00,7.25,24,7.25,24,26.12754166666667,24,6.116291666666666,24,60.57296041666667,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-09 00:00:00+00:00,7.333333333333333,24,7.333333333333333,24,17.51245833333333,24,4.3680562499999995,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-09 00:00:00+00:00,2.5058333333333334,24,2.5058333333333334,24,5.1656249999999995,24,2.712798695652174,23,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-10 00:00:00+00:00,6.416666666666667,24,6.416666666666667,24,10.628124999999999,24,8.029199583333334,24,54.353722499999996,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-10 00:00:00+00:00,7.25,24,7.25,24,8.575083333333334,24,15.659843333333333,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-10 00:00:00+00:00,3.6113750000000002,24,3.6113750000000002,24,7.78125,24,3.4591154166666667,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-10 00:00:00+00:00,3.4561666666666664,24,3.4561666666666664,24,7.8531249999999995,24,0.797235,24,55.14576541666668,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-10 00:00:00+00:00,7.043478260869565,23,7.043478260869565,23,23.234714285714283,21,5.245838260869565,23,56.91866608695652,23
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-10 00:00:00+00:00,6.125,24,6.125,24,13.285291666666666,24,5.751657916666667,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-10 00:00:00+00:00,1.6548749999999999,24,1.6548749999999999,24,3.669791666666667,24,2.7966320833333334,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-11 00:00:00+00:00,4.0,24,4.0,24,8.172458333333333,24,9.031705,24,39.43378583333334,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-11 00:00:00+00:00,4.041666666666667,24,4.041666666666667,24,7.769875,24,13.103909166666668,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-11 00:00:00+00:00,3.16925,24,3.16925,24,6.292708333333334,24,4.38693625,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-11 00:00:00+00:00,3.873791666666667,24,3.873791666666667,24,6.661458333333333,24,0.5682920833333334,24,40.90977166666667,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-11 00:00:00+00:00,6.583333333333333,24,6.583333333333333,24,16.385083333333334,24,6.751725833333334,24,41.13290250000001,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-11 00:00:00+00:00,8.541666666666666,24,8.541666666666666,24,11.755416666666667,24,5.546741666666667,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-11 00:00:00+00:00,1.9220833333333334,24,1.9220833333333334,24,3.74375,24,4.830257083333334,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-12 00:00:00+00:00,3.4166666666666665,24,3.4166666666666665,24,6.401,24,4.28596,24,29.950053333333333,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-12 00:00:00+00:00,4.041666666666667,24,4.041666666666667,24,4.911583333333334,24,9.37727347826087,23,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-12 00:00:00+00:00,2.3240416666666666,24,2.3240416666666666,24,5.477083333333333,24,1.2723108333333333,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-12 00:00:00+00:00,3.7568750000000004,24,3.7568750000000004,24,7.194791666666667,24,0.4280825,24,31.33526333333334,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-12 00:00:00+00:00,5.375,24,5.375,24,11.433375,24,1.9121499999999998,24,31.74063916666667,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-12 00:00:00+00:00,6.416666666666667,24,6.416666666666667,24,11.151541666666667,24,3.5039116666666668,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-12 00:00:00+00:00,2.8558749999999997,24,2.8558749999999997,24,6.108333333333333,24,2.1221783333333333,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-13 00:00:00+00:00,7.583333333333333,24,7.583333333333333,24,15.942375,24,6.8579179166666675,24,58.60290041666667,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-13 00:00:00+00:00,6.833333333333333,24,6.833333333333333,24,11.513875,24,12.92116956521739,23,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-13 00:00:00+00:00,5.122916666666667,24,5.122916666666667,24,10.856250000000001,24,4.23566375,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-13 00:00:00+00:00,5.111083333333333,24,5.111083333333333,24,10.592708333333333,24,1.2131233333333333,24,55.35503666666667,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-13 00:00:00+00:00,7.75,24,7.75,24,17.834416666666666,24,5.267345416666667,24,55.94127375,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-13 00:00:00+00:00,9.0,24,9.0,24,14.774791666666667,24,6.342055833333333,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-13 00:00:00+00:00,2.9088333333333334,24,2.9088333333333334,24,5.570833333333333,24,1.7841379166666667,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-14 00:00:00+00:00,6.958333333333333,24,6.958333333333333,24,12.520208333333334,24,9.898909999999999,24,51.966505000000005,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-14 00:00:00+00:00,6.75,24,6.75,24,9.29975,24,13.0944375,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-14 00:00:00+00:00,4.761166666666667,24,4.761166666666667,24,8.859375,24,6.429353333333334,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-14 00:00:00+00:00,5.037333333333334,24,5.037333333333334,24,11.020833333333334,24,1.7685458333333333,24,55.05498833333334,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-14 00:00:00+00:00,8.125,24,8.125,24,15.217625,24,6.07917,24,50.821055833333325,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-14 00:00:00+00:00,11.625,24,11.625,24,17.471999999999998,24,14.294152083333332,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-14 00:00:00+00:00,3.580916666666667,24,3.580916666666667,24,6.190625,24,6.501191666666667,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-15 00:00:00+00:00,6.125,24,6.125,24,11.835958333333332,24,7.7143813043478255,23,63.63234083333335,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-15 00:00:00+00:00,7.636363636363637,22,7.636363636363637,22,12.770652173913044,23,17.724026818181816,22,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-15 00:00:00+00:00,5.470666666666666,24,5.470666666666666,24,12.026041666666666,24,7.3686766666666665,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-15 00:00:00+00:00,5.360625,24,5.360625,24,14.049999999999999,24,2.8759430434782614,23,59.80586416666667,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-15 00:00:00+00:00,7.666666666666667,24,7.666666666666667,24,13.929375,24,5.28717,24,66.71528208333334,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-15 00:00:00+00:00,8.958333333333334,24,8.958333333333334,24,14.976166666666666,24,11.653507083333333,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-15 00:00:00+00:00,7.903874999999999,24,7.903874999999999,24,11.914583333333333,24,11.4080025,24,,0
