latitude,longitude,sst_c,clim_sst,anomaly_c
51.2100,-4.3700,18.4800,17.2380,1.2420
51.2100,-4.3500,18.5000,17.2900,1.2100
51.2100,-4.3300,18.5400,17.3020,1.2380
51.2100,-4.3100,18.6200,17.2980,1.3220
51.2100,-4.2900,18.6900,17.3180,1.3720
51.2100,-4.2700,18.7100,17.3200,1.3900
51.2100,-4.2500,18.7400,17.2980,1.4420
51.2100,-4.2300,18.7700,17.3040,1.4660
51.2100,-4.2100,18.8300,17.3020,1.5280
51.2100,-4.1900,18.9600,17.2780,1.6820
51.2100,-4.1700,19.0700,17.2860,1.7840
51.2100,-4.1500,19.1300,17.2620,1.8680
51.2100,-4.1300,19.1600,17.2620,1.8980
51.2100,-4.1100,19.1700,17.2980,1.8720
51.2100,-4.0500,19.1300,17.4460,1.6840
51.2100,-3.4700,20.4100,18.5680,1.8420
51.2100,-3.4500,20.4500,18.5960,1.8540
51.2100,-3.4300,20.4800,18.6320,1.8480
51.2100,-3.4100,20.5100,18.6820,1.8280
51.2100,-3.3900,20.5200,18.7440,1.7760
51.2100,-3.3700,20.5500,18.8020,1.7480
51.2100,-3.3500,20.5900,18.8600,1.7300
51.2100,-3.3300,20.6100,18.9220,1.6880
51.2100,-3.3100,20.6200,18.9660,1.6540
51.2100,-3.2900,20.6200,19.0080,1.6120
51.2100,-3.2700,20.6200,19.0340,1.5860
51.2100,-3.2500,20.6200,19.0560,1.5640
51.2100,-3.2300,20.6300,19.0860,1.5440
51.2100,-3.2100,20.6700,19.1040,1.5660
51.2100,-3.1900,20.7000,19.1020,1.5980
51.2100,-3.1700,20.7300,19.1240,1.6060
51.2100,-3.1500,20.7600,19.1320,1.6280
51.2100,-3.1300,20.7500,19.1520,1.5980
51.2100,-3.1100,20.7300,19.1380,1.5920
51.2100,-3.0900,20.7000,19.1220,1.5780
51.2100,-3.0700,20.6500,19.1060,1.5440
51.2100,-3.0500,20.6200,19.0920,1.5280
51.2300,-6.4900,17.6900,16.5260,1.1640
51.2300,-6.4700,17.6900,16.5080,1.1820
51.2300,-6.4500,17.7200,16.4880,1.2320
51.2300,-6.4300,17.7500,16.4920,1.2580
51.2300,-6.4100,17.8100,16.4960,1.3140
51.2300,-6.3900,17.8700,16.5240,1.3460
51.2300,-6.3700,18.0200,16.5240,1.4960
51.2300,-6.3500,18.2200,16.5140,1.7060
51.2300,-6.3300,18.3400,16.5100,1.8300
51.2300,-6.3100,18.5300,16.5040,2.0260
51.2300,-6.2900,18.6700,16.5080,2.1620
51.2300,-6.2700,18.8000,16.5120,2.2880
51.2300,-6.2500,18.9100,16.5380,2.3720
51.2300,-6.2300,18.9800,16.5700,2.4100
51.2300,-6.2100,19.0200,16.5960,2.4240
51.2300,-6.1900,19.0800,16.6340,2.4460
51.2300,-6.1700,19.1100,16.6720,2.4380
51.2300,-6.1500,19.1400,16.7100,2.4300
51.2300,-6.1300,19.1800,16.7420,2.4380
51.2300,-6.1100,19.2000,16.7540,2.4460
51.2300,-6.0900,19.2300,16.7720,2.4580
51.2300,-6.0700,19.2700,16.7920,2.4780
51.2300,-6.0500,19.3000,16.8300,2.4700
51.2300,-6.0300,19.3500,16.8520,2.4980
51.2300,-6.0100,19.4300,16.8740,2.5560
51.2300,-5.9900,19.4500,16.9060,2.5440
51.2300,-5.9700,19.5000,16.9400,2.5600
51.2300,-5.9500,19.5100,16.9860,2.5240
51.2300,-5.9300,19.5200,17.0040,2.5160
51.2300,-5.9100,19.5300,17.0000,2.5300
51.2300,-5.8900,19.5300,17.0040,2.5260
51.2300,-5.8700,19.5200,17.0200,2.5000
51.2300,-5.8500,19.5300,17.0420,2.4880
51.2300,-5.8300,19.5200,17.0660,2.4540
51.2300,-5.8100,19.5400,17.0980,2.4420
51.2300,-5.7900,19.5400,17.1340,2.4060
51.2300,-5.7700,19.5500,17.1780,2.3720
51.2300,-5.7500,19.5600,17.1960,2.3640
51.2300,-5.7300,19.5600,17.2400,2.3200
51.2300,-5.7100,19.5600,17.2560,2.3040
51.2300,-5.6900,19.5600,17.2600,2.3000
51.2300,-5.6700,19.5600,17.2620,2.2980
51.2300,-5.6500,19.5400,17.2560,2.2840
51.2300,-5.6300,19.5200,17.2420,2.2780
51.2300,-5.6100,19.5300,17.2300,2.3000
51.2300,-5.5900,19.5400,17.2300,2.3100
51.2300,-5.5700,19.5700,17.2360,2.3340
51.2300,-5.5500,19.6000,17.2540,2.3460
51.2300,-5.5300,19.5800,17.2720,2.3080
51.2300,-5.5100,19.5300,17.2880,2.2420
51.2300,-5.4900,19.5000,17.3020,2.1980
51.2300,-5.4700,19.4700,17.3120,2.1580
51.2300,-5.4500,19.4000,17.3180,2.0820
51.2300,-5.4300,19.3300,17.3120,2.0180
51.2300,-5.4100,19.2800,17.3080,1.9720
51.2300,-5.3900,19.2100,17.3120,1.8980
51.2300,-5.3700,19.2000,17.3060,1.8940
51.2300,-5.3500,19.1900,17.3100,1.8800
51.2300,-5.3300,19.2000,17.3200,1.8800
51.2300,-5.3100,19.1400,17.3320,1.8080
51.2300,-5.2900,19.1800,17.3540,1.8260
51.2300,-5.2700,19.2200,17.3660,1.8540
51.2300,-5.2500,19.2700,17.3760,1.8940
51.2300,-5.2300,19.2800,17.3960,1.8840
51.2300,-5.2100,19.2800,17.4020,1.8780
51.2300,-5.1900,19.2800,17.3920,1.8880
51.2300,-5.1700,19.2700,17.3720,1.8980
51.2300,-5.1500,19.2600,17.3780,1.8820
51.2300,-5.1300,19.2100,17.3500,1.8600
51.2300,-5.1100,19.1400,17.3320,1.8080
51.2300,-5.0900,19.0400,17.3000,1.7400
51.2300,-5.0700,18.9400,17.2800,1.6600
51.2300,-5.0500,18.8300,17.2540,1.5760
51.2300,-5.0300,18.7500,17.2340,1.5160
51.2300,-5.0100,18.7000,17.2200,1.4800
51.2300,-4.9900,18.6800,17.2180,1.4620
51.2300,-4.9700,18.6800,17.2540,1.4260
51.2300,-4.9500,18.6700,17.2680,1.4020
51.2300,-4.9300,18.6200,17.2880,1.3320
51.2300,-4.9100,18.5500,17.2860,1.2640
51.2300,-4.8900,18.4700,17.2620,1.2080
51.2300,-4.8700,18.3900,17.1920,1.1980
51.2300,-4.8500,18.3100,17.1360,1.1740
51.2300,-4.8300,18.2400,17.0800,1.1600
51.2300,-4.8100,18.1800,17.0560,1.1240
51.2300,-4.7900,18.1500,17.0360,1.1140
51.2300,-4.7700,18.1300,17.0020,1.1280
51.2300,-4.7500,18.1100,16.9700,1.1400
51.2300,-4.7300,18.1000,16.9540,1.1460
51.2300,-4.7100,18.1000,16.9660,1.1340
51.2300,-4.6900,18.0900,16.9580,1.1320
51.2300,-4.6700,18.0900,16.9340,1.1560
51.2300,-4.6500,18.0700,16.9440,1.1260
51.2300,-4.6300,18.1000,16.9460,1.1540
51.2300,-4.6100,18.1000,16.9700,1.1300
51.2300,-4.5900,18.1200,16.9900,1.1300
51.2300,-4.5700,18.1600,17.0460,1.1140
51.2300,-4.5500,18.2200,17.0820,1.1380
51.2300,-4.5300,18.2600,17.1140,1.1460
51.2300,-4.5100,18.3000,17.1760,1.1240
51.2300,-4.4900,18.3400,17.2420,1.0980
51.2300,-4.4700,18.3800,17.2700,1.1100
51.2300,-4.4500,18.4200,17.2380,1.1820
51.2300,-4.4300,18.4300,17.2440,1.1860
51.2300,-4.4100,18.4600,17.2380,1.2220
51.2300,-4.3900,18.5100,17.2620,1.2480
51.2300,-4.3700,18.5500,17.2560,1.2940
51.2300,-4.3500,18.6100,17.3060,1.3040
51.2300,-4.3300,18.6500,17.3580,1.2920
51.2300,-4.3100,18.7400,17.3700,1.3700
51.2300,-4.2900,18.7900,17.3580,1.4320
51.2300,-4.2700,18.8100,17.3380,1.4720
51.2300,-4.2500,18.8200,17.3420,1.4780
51.2300,-4.2300,18.8600,17.3520,1.5080
51.2300,-4.2100,18.9200,17.3280,1.5920
51.2300,-4.1900,19.0200,17.3180,1.7020
51.2300,-4.1700,19.1300,17.3040,1.8260
51.2300,-4.1500,19.2100,17.2880,1.9220
51.2300,-4.1300,19.2300,17.3180,1.9120
51.2300,-4.1100,19.2400,17.3380,1.9020
51.2300,-4.0900,19.2000,17.3880,1.8120
51.2300,-4.0700,19.2100,17.4420,1.7680
51.2300,-4.0500,19.1700,17.5060,1.6640
51.2300,-4.0300,19.1500,17.5440,1.6060
51.2300,-4.0100,19.1500,17.5840,1.5660
51.2300,-3.9900,19.1600,17.6240,1.5360
51.2300,-3.9700,19.2000,17.6640,1.5360
51.2300,-3.9500,19.2200,17.6900,1.5300
51.2300,-3.9300,19.2500,17.7040,1.5460
51.2300,-3.9100,19.2900,17.7240,1.5660
51.2300,-3.8900,19.3400,17.7580,1.5820
51.2300,-3.6900,20.1200,18.2040,1.9160
51.2300,-3.6700,20.1400,18.2180,1.9220
51.2300,-3.6500,20.1500,18.2340,1.9160
51.2300,-3.6300,20.1500,18.2660,1.8840
51.2300,-3.6100,20.1600,18.3060,1.8540
51.2300,-3.5900,20.1600,18.3480,1.8120
51.2300,-3.5300,20.2600,18.5120,1.7480
51.2300,-3.5100,20.3100,18.5360,1.7740
51.2300,-3.4900,20.3700,18.5580,1.8120
51.2300,-3.4700,20.4100,18.5860,1.8240
51.2300,-3.4500,20.4700,18.6140,1.8560
51.2300,-3.4300,20.5100,18.6500,1.8600
51.2300,-3.4100,20.5300,18.7000,1.8300
51.2300,-3.3900,20.5700,18.7520,1.8180
51.2300,-3.3700,20.6000,18.8160,1.7840
51.2300,-3.3500,20.6200,18.8840,1.7360
51.2300,-3.3300,20.6200,18.9360,1.6840
51.2300,-3.3100,20.6200,18.9940,1.6260
51.2300,-3.2900,20.6200,19.0280,1.5920
51.2300,-3.2700,20.6300,19.0600,1.5700
51.2300,-3.2500,20.6400,19.0660,1.5740
51.2300,-3.2300,20.6600,19.0980,1.5620
51.2300,-3.2100,20.6700,19.1140,1.5560
51.2300,-3.1900,20.7100,19.1240,1.5860
51.2300,-3.1700,20.7300,19.1300,1.6000
51.2300,-3.1500,20.7500,19.1420,1.6080
51.2300,-3.1300,20.7500,19.1520,1.5980
51.2300,-3.1100,20.7300,19.1440,1.5860
51.2300,-3.0900,20.6900,19.1240,1.5660
51.2300,-3.0700,20.6600,19.1080,1.5520
51.2300,-3.0500,20.6300,19.0900,1.5400
51.2300,-3.0300,20.6100,19.0800,1.5300
51.2300,-3.0100,20.6200,19.0760,1.5440
51.2500,-6.4900,17.6600,16.5120,1.1480
51.2500,-6.4700,17.6300,16.4920,1.1380
51.2500,-6.4500,17.6200,16.4760,1.1440
51.2500,-6.4300,17.6300,16.4680,1.1620
51.2500,-6.4100,17.6500,16.4700,1.1800
51.2500,-6.3900,17.7300,16.4880,1.2420
51.2500,-6.3700,17.8600,16.4900,1.3700
51.2500,-6.3500,18.0500,16.4880,1.5620
51.2500,-6.3300,18.2200,16.4800,1.7400
51.2500,-6.3100,18.4200,16.4800,1.9400
51.2500,-6.2900,18.5800,16.4760,2.1040
51.2500,-6.2700,18.7200,16.4860,2.2340
51.2500,-6.2500,18.8400,16.5040,2.3360
51.2500,-6.2300,18.9500,16.5400,2.4100
