latitude,longitude,anomaly_c,sst_c,clim_sst
53.5000,-5.5000,0.9882,13.7235,12.7353
53.5000,-4.5000,1.0273,13.8233,12.7960
53.5000,-3.5000,0.9913,13.7384,12.7471
52.5000,-6.5000,0.8819,14.6520,13.7700
52.5000,-5.5000,1.0346,14.3305,13.2959
52.5000,-4.5000,1.1451,14.3890,13.2439
51.5000,-6.5000,0.9000,14.9496,14.0496
51.5000,-5.5000,1.0933,14.9646,13.8713
51.5000,-4.5000,1.2615,15.0242,13.7627
51.5000,-3.5000,1.3586,15.3221,13.9635
