date,latitude,longitude,sst_c
1870-08-16T12:00:00+00:00,51.5000,-3.5000,16.4596
1870-09-16T00:00:00+00:00,53.5000,-5.5000,15.5639
1870-09-16T00:00:00+00:00,53.5000,-4.5000,15.6164
1870-09-16T00:00:00+00:00,53.5000,-3.5000,15.5287
1870-09-16T00:00:00+00:00,52.5000,-6.5000,16.0555
1870-09-16T00:00:00+00:00,52.5000,-5.5000,15.9147
1870-09-16T00:00:00+00:00,52.5000,-4.5000,15.9741
1870-09-16T00:00:00+00:00,51.5000,-6.5000,16.2067
1870-09-16T00:00:00+00:00,51.5000,-5.5000,16.2107
1870-09-16T00:00:00+00:00,51.5000,-4.5000,16.3154
1870-09-16T00:00:00+00:00,51.5000,-3.5000,16.6177
1870-10-16T12:00:00+00:00,53.5000,-5.5000,14.3440
1870-10-16T12:00:00+00:00,53.5000,-4.5000,14.3426
1870-10-16T12:00:00+00:00,53.5000,-3.5000,14.2364
1870-10-16T12:00:00+00:00,52.5000,-6.5000,14.5146
1870-10-16T12:00:00+00:00,52.5000,-5.5000,14.5166
1870-10-16T12:00:00+00:00,52.5000,-4.5000,14.5642
1870-10-16T12:00:00+00:00,51.5000,-6.5000,14.5689
1870-10-16T12:00:00+00:00,51.5000,-5.5000,14.6633
1870-10-16T12:00:00+00:00,51.5000,-4.5000,14.7751
1870-10-16T12:00:00+00:00,51.5000,-3.5000,14.9873
1870-11-16T00:00:00+00:00,53.5000,-5.5000,12.2209
1870-11-16T00:00:00+00:00,53.5000,-4.5000,12.1572
1870-11-16T00:00:00+00:00,53.5000,-3.5000,11.9647
1870-11-16T00:00:00+00:00,52.5000,-6.5000,12.5065
1870-11-16T00:00:00+00:00,52.5000,-5.5000,12.4493
1870-11-16T00:00:00+00:00,52.5000,-4.5000,12.4288
1870-11-16T00:00:00+00:00,51.5000,-6.5000,12.5674
1870-11-16T00:00:00+00:00,51.5000,-5.5000,12.6436
1870-11-16T00:00:00+00:00,51.5000,-4.5000,12.6884
1870-11-16T00:00:00+00:00,51.5000,-3.5000,12.8361
1870-12-16T12:00:00+00:00,53.5000,-5.5000,10.0274
1870-12-16T12:00:00+00:00,53.5000,-4.5000,9.8934
1870-12-16T12:00:00+00:00,53.5000,-3.5000,9.6216
1870-12-16T12:00:00+00:00,52.5000,-6.5000,10.5147
1870-12-16T12:00:00+00:00,52.5000,-5.5000,10.3171
1870-12-16T12:00:00+00:00,52.5000,-4.5000,10.2063
1870-12-16T12:00:00+00:00,51.5000,-6.5000,10.6329
1870-12-16T12:00:00+00:00,51.5000,-5.5000,10.6087
1870-12-16T12:00:00+00:00,51.5000,-4.5000,10.5214
1870-12-16T12:00:00+00:00,51.5000,-3.5000,10.5502
1871-01-16T12:00:00+00:00,53.5000,-5.5000,8.6435
1871-01-16T12:00:00+00:00,53.5000,-4.5000,8.5136
1871-01-16T12:00:00+00:00,53.5000,-3.5000,8.2388
1871-01-16T12:00:00+00:00,52.5000,-6.5000,9.3910
1871-01-16T12:00:00+00:00,52.5000,-5.5000,9.0348
1871-01-16T12:00:00+00:00,52.5000,-4.5000,8.8714
1871-01-16T12:00:00+00:00,51.5000,-6.5000,9.5674
1871-01-16T12:00:00+00:00,51.5000,-5.5000,9.4117
1871-01-16T12:00:00+00:00,51.5000,-4.5000,9.2280
1871-01-16T12:00:00+00:00,51.5000,-3.5000,9.2546
1871-02-15T00:00:00+00:00,53.5000,-5.5000,7.4779
1871-02-15T00:00:00+00:00,53.5000,-4.5000,7.3212
1871-02-15T00:00:00+00:00,53.5000,-3.5000,7.0128
1871-02-15T00:00:00+00:00,52.5000,-6.5000,8.3207
1871-02-15T00:00:00+00:00,52.5000,-5.5000,7.8775
1871-02-15T00:00:00+00:00,52.5000,-4.5000,7.7024
1871-02-15T00:00:00+00:00,51.5000,-6.5000,8.5515
1871-02-15T00:00:00+00:00,51.5000,-5.5000,8.3347
1871-02-15T00:00:00+00:00,51.5000,-4.5000,8.1385
1871-02-15T00:00:00+00:00,51.5000,-3.5000,8.2317
1871-03-16T12:00:00+00:00,53.5000,-5.5000,7.7234
1871-03-16T12:00:00+00:00,53.5000,-4.5000,7.5829
1871-03-16T12:00:00+00:00,53.5000,-3.5000,7.2698
1871-03-16T12:00:00+00:00,52.5000,-6.5000,8.5944
1871-03-16T12:00:00+00:00,52.5000,-5.5000,8.1398
1871-03-16T12:00:00+00:00,52.5000,-4.5000,7.9835
1871-03-16T12:00:00+00:00,51.5000,-6.5000,8.8508
1871-03-16T12:00:00+00:00,51.5000,-5.5000,8.6200
1871-03-16T12:00:00+00:00,51.5000,-4.5000,8.4333
1871-03-16T12:00:00+00:00,51.5000,-3.5000,8.5497
1871-04-16T00:00:00+00:00,53.5000,-5.5000,8.4803
1871-04-16T00:00:00+00:00,53.5000,-4.5000,8.4174
1871-04-16T00:00:00+00:00,53.5000,-3.5000,8.2171
1871-04-16T00:00:00+00:00,52.5000,-6.5000,9.2575
1871-04-16T00:00:00+00:00,52.5000,-5.5000,8.8739
1871-04-16T00:00:00+00:00,52.5000,-4.5000,8.7786
1871-04-16T00:00:00+00:00,51.5000,-6.5000,9.4946
1871-04-16T00:00:00+00:00,51.5000,-5.5000,9.3104
1871-04-16T00:00:00+00:00,51.5000,-4.5000,9.1926
1871-04-16T00:00:00+00:00,51.5000,-3.5000,9.3303
1871-05-16T12:00:00+00:00,53.5000,-5.5000,9.7710
1871-05-16T12:00:00+00:00,53.5000,-4.5000,9.7596
1871-05-16T12:00:00+00:00,53.5000,-3.5000,9.6503
1871-05-16T12:00:00+00:00,52.5000,-6.5000,10.5489
1871-05-16T12:00:00+00:00,52.5000,-5.5000,10.1983
1871-05-16T12:00:00+00:00,52.5000,-4.5000,10.1379
1871-05-16T12:00:00+00:00,51.5000,-6.5000,10.7690
1871-05-16T12:00:00+00:00,51.5000,-5.5000,10.6320
1871-05-16T12:00:00+00:00,51.5000,-4.5000,10.5591
1871-05-16T12:00:00+00:00,51.5000,-3.5000,10.6647
1871-06-16T00:00:00+00:00,53.5000,-5.5000,11.7716
1871-06-16T00:00:00+00:00,53.5000,-4.5000,11.7863
1871-06-16T00:00:00+00:00,53.5000,-3.5000,11.7301
1871-06-16T00:00:00+00:00,52.5000,-6.5000,12.6658
1871-06-16T00:00:00+00:00,52.5000,-5.5000,12.2590
1871-06-16T00:00:00+00:00,52.5000,-4.5000,12.2056
1871-06-16T00:00:00+00:00,51.5000,-6.5000,12.9182
1871-06-16T00:00:00+00:00,51.5000,-5.5000,12.7693
1871-06-16T00:00:00+00:00,51.5000,-4.5000,12.6912
1871-06-16T00:00:00+00:00,51.5000,-3.5000,12.7922
1871-07-16T12:00:00+00:00,53.5000,-5.5000,13.8826
1871-07-16T12:00:00+00:00,53.5000,-4.5000,13.9008
1871-07-16T12:00:00+00:00,53.5000,-3.5000,13.7942
1871-07-16T12:00:00+00:00,52.5000,-6.5000,14.9655
1871-07-16T12:00:00+00:00,52.5000,-5.5000,14.4937
1871-07-16T12:00:00+00:00,52.5000,-4.5000,14.4460
1871-07-16T12:00:00+00:00,51.5000,-6.5000,15.2682
1871-07-16T12:00:00+00:00,51.5000,-5.5000,15.1076
1871-07-16T12:00:00+00:00,51.5000,-4.5000,15.0320
1871-07-16T12:00:00+00:00,51.5000,-3.5000,15.1619
1871-08-16T12:00:00+00:00,53.5000,-5.5000,15.0755
1871-08-16T12:00:00+00:00,53.5000,-4.5000,15.1257
1871-08-16T12:00:00+00:00,53.5000,-3.5000,15.0590
1871-08-16T12:00:00+00:00,52.5000,-6.5000,15.9202
1871-08-16T12:00:00+00:00,52.5000,-5.5000,15.5762
1871-08-16T12:00:00+00:00,52.5000,-4.5000,15.5859
1871-08-16T12:00:00+00:00,51.5000,-6.5000,16.1814
1871-08-16T12:00:00+00:00,51.5000,-5.5000,16.0733
1871-08-16T12:00:00+00:00,51.5000,-4.5000,16.0798
1871-08-16T12:00:00+00:00,51.5000,-3.5000,16.3113
1871-09-16T00:00:00+00:00,53.5000,-5.5000,14.6344
1871-09-16T00:00:00+00:00,53.5000,-4.5000,14.6968
1871-09-16T00:00:00+00:00,53.5000,-3.5000,14.6892
1871-09-16T00:00:00+00:00,52.5000,-6.5000,15.0955
1871-09-16T00:00:00+00:00,52.5000,-5.5000,14.9547
1871-09-16T00:00:00+00:00,52.5000,-4.5000,15.0042
1871-09-16T00:00:00+00:00,51.5000,-6.5000,15.2467
1871-09-16T00:00:00+00:00,51.5000,-5.5000,15.2507
1871-09-16T00:00:00+00:00,51.5000,-4.5000,15.3406
1871-09-16T00:00:00+00:00,51.5000,-3.5000,15.6083
1871-10-16T12:00:00+00:00,53.5000,-5.5000,13.3473
1871-10-16T12:00:00+00:00,53.5000,-4.5000,13.3254
1871-10-16T12:00:00+00:00,53.5000,-3.5000,13.2591
1871-10-16T12:00:00+00:00,52.5000,-6.5000,13.4886
1871-10-16T12:00:00+00:00,52.5000,-5.5000,13.4906
1871-10-16T12:00:00+00:00,52.5000,-4.5000,13.5022
1871-10-16T12:00:00+00:00,51.5000,-6.5000,13.5429
1871-10-16T12:00:00+00:00,51.5000,-5.5000,13.6373
1871-10-16T12:00:00+00:00,51.5000,-4.5000,13.6951
1871-10-16T12:00:00+00:00,51.5000,-3.5000,13.7813
1871-11-16T00:00:00+00:00,53.5000,-5.5000,11.5214
1871-11-16T00:00:00+00:00,53.5000,-4.5000,11.4275
