latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
51.68428,-5.0265,298.78,0.49,0.4,2026-07-05,304,N,VIIRS,n,2.0NRT,288.59,1.6,N
52.04823,-2.62761,335.01,0.39,0.37,2026-07-05,1253,N,VIIRS,n,2.0NRT,298.72,2.05,D
52.05151,-2.6291,345.46,0.39,0.37,2026-07-05,1253,N,VIIRS,n,2.0NRT,299,2.99,D
52.05576,-2.62496,348.73,0.39,0.37,2026-07-05,1253,N,VIIRS,n,2.0NRT,299.65,5.25,D
53.15546,-2.69846,358.18,0.39,0.36,2026-07-05,1253,N,VIIRS,l,2.0NRT,297.79,4.95,D
53.15642,-2.69274,335.1,0.39,0.36,2026-07-05,1253,N,VIIRS,n,2.0NRT,295.63,4.95,D
53.15871,-2.69999,327.58,0.39,0.36,2026-07-05,1253,N,VIIRS,n,2.0NRT,294.09,1.55,D
53.11925,-4.25135,325.6,0.55,0.42,2026-07-06,1234,N,VIIRS,n,2.0NRT,291.08,1.67,D
51.68433,-5.03084,308,0.39,0.44,2026-07-08,209,N,VIIRS,n,2.0NRT,291.58,1.35,N
51.68605,-5.03063,304.78,0.39,0.44,2026-07-08,209,N,VIIRS,n,2.0NRT,290.39,2,N
51.68763,-5.02952,298.52,0.42,0.61,2026-07-08,349,N,VIIRS,n,2.0NRT,287.81,1.18,N
51.90088,-2.96208,333.49,0.59,0.7,2026-07-09,1138,N,VIIRS,n,2.0NRT,298.9,2.92,D
51.89948,-2.96401,335.94,0.43,0.38,2026-07-09,1318,N,VIIRS,n,2.0NRT,306.29,1.64,D
