latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
50.8321,-1.36683,303.98,0.41,0.37,2026-08-14,213,N,VIIRS,n,2.0NRT,293.88,1.77,N
51.63185,-3.15499,304.69,0.45,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,285.83,1,N
51.7529,-3.05062,312.58,0.45,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,287.05,1.93,N
51.7537,-3.05736,301.15,0.45,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,284.56,1.12,N
51.75412,-3.05027,308.9,0.45,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,286.46,3.12,N
51.7549,-3.05703,304.55,0.45,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,285.35,3.12,N
51.75644,-3.04942,296.21,0.45,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,283.6,5.23,N
51.75723,-3.05612,315.31,0.45,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,285.93,9.66,N
51.75767,-3.0491,321.59,0.45,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,284.8,3.12,N
51.75843,-3.05577,334.07,0.45,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,288.88,3.12,N
51.75998,-3.04832,334.52,0.45,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,293.5,5.23,N
51.76077,-3.05488,346.62,0.45,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,297.97,9.66,N
51.76122,-3.04802,330.88,0.45,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,288.88,8.86,N
51.76198,-3.05455,345.1,0.45,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,295.69,8.86,N
51.81501,-3.19447,309.44,0.46,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,286.49,2.08,N
51.81577,-3.20105,311.25,0.46,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,286.01,2.08,N
51.8178,-3.18667,299.97,0.46,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,284.53,0.95,N
51.81933,-3.19986,317.65,0.46,0.39,2026-08-14,213,N,VIIRS,n,2.0NRT,288.72,2.08,N
