period,start_date,end_date,end_year,mean_temperature_c,days,status,rank_warmest
1965-08 to 1966-07,1965-08-01,1966-07-31,1966,8.423014,365,published-inputs,103
1966-08 to 1967-07,1966-08-01,1967-07-31,1967,8.742192,365,published-inputs,67
1967-08 to 1968-07,1967-08-01,1968-07-31,1968,8.292077,366,published-inputs,114
1968-08 to 1969-07,1968-08-01,1969-07-31,1969,8.443288,365,published-inputs,101
1969-08 to 1970-07,1969-08-01,1970-07-31,1970,8.562740,365,published-inputs,89
1970-08 to 1971-07,1970-08-01,1971-07-31,1971,8.871233,365,published-inputs,56
1971-08 to 1972-07,1971-08-01,1972-07-31,1972,8.704645,366,published-inputs,74
1972-08 to 1973-07,1972-08-01,1973-07-31,1973,8.599178,365,published-inputs,84
1973-08 to 1974-07,1973-08-01,1974-07-31,1974,8.864110,365,published-inputs,58
1974-08 to 1975-07,1974-08-01,1975-07-31,1975,8.738356,365,published-inputs,69
1975-08 to 1976-07,1975-08-01,1976-07-31,1976,9.187978,366,published-inputs,41
1976-08 to 1977-07,1976-08-01,1977-07-31,1977,8.384110,365,published-inputs,108
1977-08 to 1978-07,1977-08-01,1978-07-31,1978,8.455616,365,published-inputs,100
1978-08 to 1979-07,1978-08-01,1979-07-31,1979,7.996712,365,published-inputs,130
1979-08 to 1980-07,1979-08-01,1980-07-31,1980,8.555191,366,published-inputs,91
1980-08 to 1981-07,1980-08-01,1981-07-31,1981,8.731507,365,published-inputs,71
1981-08 to 1982-07,1981-08-01,1982-07-31,1982,8.612877,365,published-inputs,82
1982-08 to 1983-07,1982-08-01,1983-07-31,1983,8.918904,365,published-inputs,53
1983-08 to 1984-07,1983-08-01,1984-07-31,1984,8.909836,366,published-inputs,54
1984-08 to 1985-07,1984-08-01,1985-07-31,1985,8.472055,365,published-inputs,97
1985-08 to 1986-07,1985-08-01,1986-07-31,1986,7.982466,365,published-inputs,132
1986-08 to 1987-07,1986-08-01,1987-07-31,1987,8.143014,365,published-inputs,124
1987-08 to 1988-07,1987-08-01,1988-07-31,1988,8.930328,366,published-inputs,51
1988-08 to 1989-07,1988-08-01,1989-07-31,1989,9.429041,365,published-inputs,29
1989-08 to 1990-07,1989-08-01,1990-07-31,1990,9.741370,365,published-inputs,14
1990-08 to 1991-07,1990-08-01,1991-07-31,1991,8.715068,365,published-inputs,73
1991-08 to 1992-07,1991-08-01,1992-07-31,1992,9.445628,366,published-inputs,28
1992-08 to 1993-07,1992-08-01,1993-07-31,1993,8.826027,365,published-inputs,61
1993-08 to 1994-07,1993-08-01,1994-07-31,1994,8.407123,365,published-inputs,104
1994-08 to 1995-07,1994-08-01,1995-07-31,1995,9.627671,365,published-inputs,17
1995-08 to 1996-07,1995-08-01,1996-07-31,1996,8.823770,366,published-inputs,62
1996-08 to 1997-07,1996-08-01,1997-07-31,1997,9.101370,365,published-inputs,43
1997-08 to 1998-07,1997-08-01,1998-07-31,1998,9.904384,365,published-inputs,9
1998-08 to 1999-07,1998-08-01,1999-07-31,1999,9.606849,365,published-inputs,19
1999-08 to 2000-07,1999-08-01,2000-07-31,2000,9.469126,366,published-inputs,25
2000-08 to 2001-07,2000-08-01,2001-07-31,2001,9.006027,365,published-inputs,48
2001-08 to 2002-07,2001-08-01,2002-07-31,2002,9.604658,365,published-inputs,20
2002-08 to 2003-07,2002-08-01,2003-07-31,2003,9.690685,365,published-inputs,16
2003-08 to 2004-07,2003-08-01,2004-07-31,2004,9.453552,366,published-inputs,27
2004-08 to 2005-07,2004-08-01,2005-07-31,2005,9.794795,365,published-inputs,11
2005-08 to 2006-07,2005-08-01,2006-07-31,2006,9.597534,365,published-inputs,21
2006-08 to 2007-07,2006-08-01,2007-07-31,2007,10.315068,365,published-inputs,2
2007-08 to 2008-07,2007-08-01,2008-07-31,2008,9.593716,366,published-inputs,22
2008-08 to 2009-07,2008-08-01,2009-07-31,2009,9.017260,365,published-inputs,47
2009-08 to 2010-07,2009-08-01,2010-07-31,2010,8.864110,365,published-inputs,58
2010-08 to 2011-07,2010-08-01,2011-07-31,2011,8.730411,365,published-inputs,72
2011-08 to 2012-07,2011-08-01,2012-07-31,2012,9.704645,366,published-inputs,15
2012-08 to 2013-07,2012-08-01,2013-07-31,2013,8.519726,365,published-inputs,94
2013-08 to 2014-07,2013-08-01,2014-07-31,2014,10.107397,365,published-inputs,7
2014-08 to 2015-07,2014-08-01,2015-07-31,2015,9.314247,365,published-inputs,35
2015-08 to 2016-07,2015-08-01,2016-07-31,2016,9.830055,366,published-inputs,10
2016-08 to 2017-07,2016-08-01,2017-07-31,2017,10.020000,365,published-inputs,8
2017-08 to 2018-07,2017-08-01,2018-07-31,2018,9.592603,365,published-inputs,23
2018-08 to 2019-07,2018-08-01,2019-07-31,2019,9.794795,365,published-inputs,11
2019-08 to 2020-07,2019-08-01,2020-07-31,2020,9.785792,366,published-inputs,13
2020-08 to 2021-07,2020-08-01,2021-07-31,2021,9.361644,365,published-inputs,33
2021-08 to 2022-07,2021-08-01,2022-07-31,2022,10.273699,365,published-inputs,4
2022-08 to 2023-07,2022-08-01,2023-07-31,2023,10.221096,365,published-inputs,5
2023-08 to 2024-07,2023-08-01,2024-07-31,2024,10.293443,366,published-inputs,3
2024-08 to 2025-07,2024-08-01,2025-07-31,2025,10.206301,365,published-inputs,6
2025-08 to 2026-07,2025-08-01,2026-07-31,2026,10.626849,365,provisional-scenario,1
