period,start_date,end_date,end_year,mean_temperature_c,days,status,rank_warmest,smoothed_trend_c,reference_mean_c,lowest_published_c,highest_published_c,latest_c,latest_status,july_2026_value_c,source_last_updated
1916-08 to 1917-07,1916-08-01,1917-07-31,1917,7.886849,365,published-inputs,135,8.549760,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1917-08 to 1918-07,1917-08-01,1918-07-31,1918,8.607945,365,published-inputs,83,8.553073,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1918-08 to 1919-07,1918-08-01,1919-07-31,1919,8.189863,365,published-inputs,121,8.556059,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1919-08 to 1920-07,1919-08-01,1920-07-31,1920,8.521311,366,published-inputs,92,8.558982,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1920-08 to 1921-07,1920-08-01,1921-07-31,1921,9.282192,365,published-inputs,37,8.562107,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1921-08 to 1922-07,1921-08-01,1922-07-31,1922,8.649863,365,published-inputs,78,8.565690,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1922-08 to 1923-07,1922-08-01,1923-07-31,1923,8.486849,365,published-inputs,96,8.569959,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1923-08 to 1924-07,1923-08-01,1924-07-31,1924,7.990984,366,published-inputs,131,8.575107,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1924-08 to 1925-07,1924-08-01,1925-07-31,1925,9.003288,365,published-inputs,49,8.581281,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1925-08 to 1926-07,1925-08-01,1926-07-31,1926,8.595068,365,published-inputs,86,8.588579,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1926-08 to 1927-07,1926-08-01,1927-07-31,1927,8.623562,365,published-inputs,80,8.597046,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1927-08 to 1928-07,1927-08-01,1928-07-31,1928,8.568579,366,published-inputs,87,8.606670,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1928-08 to 1929-07,1928-08-01,1929-07-31,1929,8.073699,365,published-inputs,126,8.617384,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1929-08 to 1930-07,1929-08-01,1930-07-31,1930,8.697534,365,published-inputs,75,8.629069,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1930-08 to 1931-07,1930-08-01,1931-07-31,1931,8.426575,365,published-inputs,102,8.641567,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1931-08 to 1932-07,1931-08-01,1932-07-31,1932,8.387705,366,published-inputs,107,8.654682,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1932-08 to 1933-07,1932-08-01,1933-07-31,1933,9.068767,365,published-inputs,45,8.668204,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1933-08 to 1934-07,1933-08-01,1934-07-31,1934,8.740548,365,published-inputs,68,8.681915,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1934-08 to 1935-07,1934-08-01,1935-07-31,1935,9.225753,365,published-inputs,40,8.695607,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1935-08 to 1936-07,1935-08-01,1936-07-31,1936,8.354645,366,published-inputs,112,8.709085,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1936-08 to 1937-07,1936-08-01,1937-07-31,1937,8.927945,365,published-inputs,52,8.722174,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1937-08 to 1938-07,1937-08-01,1938-07-31,1938,8.772603,365,published-inputs,64,8.734714,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1938-08 to 1939-07,1938-08-01,1939-07-31,1939,9.076438,365,published-inputs,44,8.746559,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1939-08 to 1940-07,1939-08-01,1940-07-31,1940,8.521038,366,published-inputs,93,8.757566,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1940-08 to 1941-07,1940-08-01,1941-07-31,1941,8.059452,365,published-inputs,127,8.767587,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1941-08 to 1942-07,1941-08-01,1942-07-31,1942,8.596164,365,published-inputs,85,8.776466,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1942-08 to 1943-07,1942-08-01,1943-07-31,1943,9.417808,365,published-inputs,31,8.784035,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1943-08 to 1944-07,1943-08-01,1944-07-31,1944,8.827049,366,published-inputs,60,8.790122,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1944-08 to 1945-07,1944-08-01,1945-07-31,1945,8.886575,365,published-inputs,55,8.794557,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1945-08 to 1946-07,1945-08-01,1946-07-31,1946,8.966849,365,published-inputs,50,8.797180,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1946-08 to 1947-07,1946-08-01,1947-07-31,1947,8.008219,365,published-inputs,128,8.797859,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1947-08 to 1948-07,1947-08-01,1948-07-31,1948,9.464481,366,published-inputs,26,8.796493,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1948-08 to 1949-07,1948-08-01,1949-07-31,1949,9.404384,365,published-inputs,32,8.793021,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1949-08 to 1950-07,1949-08-01,1950-07-31,1950,9.618904,365,published-inputs,18,8.787425,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1950-08 to 1951-07,1950-08-01,1951-07-31,1951,7.834795,365,published-inputs,136,8.779729,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1951-08 to 1952-07,1951-08-01,1952-07-31,1952,9.059290,366,published-inputs,46,8.769997,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1952-08 to 1953-07,1952-08-01,1953-07-31,1953,8.175616,365,published-inputs,122,8.758337,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1953-08 to 1954-07,1953-08-01,1954-07-31,1954,8.745205,365,published-inputs,66,8.744898,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
