period,start_date,end_date,end_year,mean_temperature_c,days,status,rank_warmest,temperature_anomaly_c
1947-08 to 1948-07,1947-08-01,1948-07-31,1948,9.464481,366,published-inputs,26,0.046125
1948-08 to 1949-07,1948-08-01,1949-07-31,1949,9.404384,365,published-inputs,32,-0.013972
1949-08 to 1950-07,1949-08-01,1950-07-31,1950,9.618904,365,published-inputs,18,0.200548
1950-08 to 1951-07,1950-08-01,1951-07-31,1951,7.834795,365,published-inputs,136,-1.583561
1951-08 to 1952-07,1951-08-01,1952-07-31,1952,9.059290,366,published-inputs,46,-0.359066
1952-08 to 1953-07,1952-08-01,1953-07-31,1953,8.175616,365,published-inputs,122,-1.242740
1953-08 to 1954-07,1953-08-01,1954-07-31,1954,8.745205,365,published-inputs,66,-0.673151
1954-08 to 1955-07,1954-08-01,1955-07-31,1955,8.463014,365,published-inputs,98,-0.955342
1955-08 to 1956-07,1955-08-01,1956-07-31,1956,8.615027,366,published-inputs,81,-0.803329
1956-08 to 1957-07,1956-08-01,1957-07-31,1957,9.293425,365,published-inputs,36,-0.124931
1957-08 to 1958-07,1957-08-01,1958-07-31,1958,8.457260,365,published-inputs,99,-0.961096
1958-08 to 1959-07,1958-08-01,1959-07-31,1959,9.267397,365,published-inputs,38,-0.150959
1959-08 to 1960-07,1959-08-01,1960-07-31,1960,9.545355,366,published-inputs,24,0.126999
1960-08 to 1961-07,1960-08-01,1961-07-31,1961,8.867945,365,published-inputs,57,-0.550411
1961-08 to 1962-07,1961-08-01,1962-07-31,1962,8.142466,365,published-inputs,125,-1.275890
1962-08 to 1963-07,1962-08-01,1963-07-31,1963,7.303288,365,published-inputs,140,-2.115068
1963-08 to 1964-07,1963-08-01,1964-07-31,1964,8.502732,366,published-inputs,95,-0.915624
1964-08 to 1965-07,1964-08-01,1965-07-31,1965,8.236712,365,published-inputs,116,-1.181644
1965-08 to 1966-07,1965-08-01,1966-07-31,1966,8.423014,365,published-inputs,103,-0.995342
1966-08 to 1967-07,1966-08-01,1967-07-31,1967,8.742192,365,published-inputs,67,-0.676164
1967-08 to 1968-07,1967-08-01,1968-07-31,1968,8.292077,366,published-inputs,114,-1.126279
1968-08 to 1969-07,1968-08-01,1969-07-31,1969,8.443288,365,published-inputs,101,-0.975068
1969-08 to 1970-07,1969-08-01,1970-07-31,1970,8.562740,365,published-inputs,89,-0.855616
1970-08 to 1971-07,1970-08-01,1971-07-31,1971,8.871233,365,published-inputs,56,-0.547123
1971-08 to 1972-07,1971-08-01,1972-07-31,1972,8.704645,366,published-inputs,74,-0.713711
1972-08 to 1973-07,1972-08-01,1973-07-31,1973,8.599178,365,published-inputs,84,-0.819178
1973-08 to 1974-07,1973-08-01,1974-07-31,1974,8.864110,365,published-inputs,58,-0.554246
1974-08 to 1975-07,1974-08-01,1975-07-31,1975,8.738356,365,published-inputs,69,-0.680000
1975-08 to 1976-07,1975-08-01,1976-07-31,1976,9.187978,366,published-inputs,41,-0.230378
1976-08 to 1977-07,1976-08-01,1977-07-31,1977,8.384110,365,published-inputs,108,-1.034246
1977-08 to 1978-07,1977-08-01,1978-07-31,1978,8.455616,365,published-inputs,100,-0.962740
1978-08 to 1979-07,1978-08-01,1979-07-31,1979,7.996712,365,published-inputs,130,-1.421644
1979-08 to 1980-07,1979-08-01,1980-07-31,1980,8.555191,366,published-inputs,91,-0.863165
1980-08 to 1981-07,1980-08-01,1981-07-31,1981,8.731507,365,published-inputs,71,-0.686849
1981-08 to 1982-07,1981-08-01,1982-07-31,1982,8.612877,365,published-inputs,82,-0.805479
1982-08 to 1983-07,1982-08-01,1983-07-31,1983,8.918904,365,published-inputs,53,-0.499452
1983-08 to 1984-07,1983-08-01,1984-07-31,1984,8.909836,366,published-inputs,54,-0.508520
1984-08 to 1985-07,1984-08-01,1985-07-31,1985,8.472055,365,published-inputs,97,-0.946301
1985-08 to 1986-07,1985-08-01,1986-07-31,1986,7.982466,365,published-inputs,132,-1.435890
1986-08 to 1987-07,1986-08-01,1987-07-31,1987,8.143014,365,published-inputs,124,-1.275342
1987-08 to 1988-07,1987-08-01,1988-07-31,1988,8.930328,366,published-inputs,51,-0.488028
1988-08 to 1989-07,1988-08-01,1989-07-31,1989,9.429041,365,published-inputs,29,0.010685
1989-08 to 1990-07,1989-08-01,1990-07-31,1990,9.741370,365,published-inputs,14,0.323014
1990-08 to 1991-07,1990-08-01,1991-07-31,1991,8.715068,365,published-inputs,73,-0.703288
1991-08 to 1992-07,1991-08-01,1992-07-31,1992,9.445628,366,published-inputs,28,0.027272
1992-08 to 1993-07,1992-08-01,1993-07-31,1993,8.826027,365,published-inputs,61,-0.592329
1993-08 to 1994-07,1993-08-01,1994-07-31,1994,8.407123,365,published-inputs,104,-1.011233
1994-08 to 1995-07,1994-08-01,1995-07-31,1995,9.627671,365,published-inputs,17,0.209315
1995-08 to 1996-07,1995-08-01,1996-07-31,1996,8.823770,366,published-inputs,62,-0.594586
1996-08 to 1997-07,1996-08-01,1997-07-31,1997,9.101370,365,published-inputs,43,-0.316986
1997-08 to 1998-07,1997-08-01,1998-07-31,1998,9.904384,365,published-inputs,9,0.486028
1998-08 to 1999-07,1998-08-01,1999-07-31,1999,9.606849,365,published-inputs,19,0.188493
1999-08 to 2000-07,1999-08-01,2000-07-31,2000,9.469126,366,published-inputs,25,0.050770
