year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1851,245.000000,67.300000,151.300000,62.100000,47.600000,109.800000,114.700000,90.700000,44.200000,129.800000,74.900000,61.700000,429.600000,261.000000,315.300000,248.800000,1199.100000
1852,220.800000,140.100000,18.000000,34.900000,84.600000,145.400000,89.800000,206.300000,136.800000,144.100000,321.100000,241.300000,422.600000,137.500000,441.500000,602.100000,1783.400000
1853,159.000000,49.100000,47.500000,93.600000,55.400000,118.200000,143.900000,104.800000,75.300000,151.800000,104.700000,44.700000,449.400000,196.500000,366.900000,331.800000,1148.100000
1854,129.900000,56.000000,44.100000,19.900000,82.900000,84.100000,125.500000,83.700000,66.100000,101.200000,90.200000,116.100000,230.600000,146.900000,293.300000,257.400000,999.500000
1855,15.100000,47.500000,84.200000,23.800000,70.300000,127.000000,139.600000,84.500000,44.500000,186.600000,38.000000,80.800000,178.700000,178.300000,351.100000,269.100000,941.900000
1856,127.800000,108.700000,39.600000,106.700000,69.400000,70.500000,81.100000,122.600000,136.800000,111.000000,64.000000,156.200000,317.400000,215.600000,274.200000,311.700000,1194.300000
1857,117.800000,87.600000,123.700000,126.600000,70.700000,88.400000,101.600000,109.700000,95.200000,109.700000,66.900000,78.100000,361.600000,321.000000,299.700000,271.800000,1176.000000
1858,55.900000,31.700000,59.900000,132.200000,85.200000,66.800000,76.900000,84.100000,133.100000,167.400000,61.400000,135.500000,165.700000,277.400000,227.800000,361.900000,1090.100000
1859,97.000000,83.100000,150.800000,121.000000,33.000000,62.200000,95.400000,134.500000,184.000000,138.200000,144.200000,155.200000,315.500000,304.900000,292.200000,466.400000,1398.600000
1860,157.700000,56.700000,125.900000,64.500000,104.000000,209.800000,71.200000,241.200000,93.500000,148.500000,90.700000,132.100000,369.600000,294.400000,522.200000,332.700000,1495.900000
1861,52.700000,125.000000,119.400000,29.400000,42.300000,94.600000,164.600000,129.700000,137.900000,85.300000,189.200000,103.800000,309.800000,191.000000,389.000000,412.400000,1273.900000
1862,123.200000,32.500000,129.500000,120.800000,106.100000,111.300000,127.900000,98.300000,112.700000,194.300000,60.500000,137.700000,259.500000,356.400000,337.500000,367.500000,1354.800000
1863,151.800000,54.400000,50.200000,53.700000,56.000000,113.400000,45.000000,144.600000,180.800000,209.300000,141.500000,79.400000,343.900000,159.900000,303.000000,531.600000,1280.000000
1864,93.700000,67.900000,95.600000,45.400000,54.700000,87.300000,46.300000,69.200000,151.800000,88.000000,140.900000,85.700000,240.900000,195.800000,202.700000,380.600000,1026.400000
