season,full_record_slope_mm_per_decade,modern_slope_mm_per_decade,reference_1991_2020_annual_mm
winter,7.416285,16.168654,1464.760000
spring,2.595572,-2.682525,1464.760000
summer,-1.922690,9.050137,1464.760000
autumn,2.634925,9.157861,1464.760000
