cutoff_end_year,training_observations,test_observations,annual_mae_mm,annual_rmse_mm,predicted_ten_year_mean_mm,observed_ten_year_mean_mm,ten_year_mean_error_mm
1990,21,10,140.560255,205.337988,1532.024827,1434.450000,97.574827
2000,31,10,182.129960,209.452675,1520.051169,1468.400000,51.651169
2010,41,10,172.749617,196.715328,1521.400871,1464.430000,56.970871
2015,46,10,208.151358,230.035940,1507.665476,1508.570000,-0.904524
