Data supplied by UK-AIR on 17/3/2026
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Wrexham,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit
 
01-01-2025,01:00,6.000,R,ugm-3 (FIDAS),1.62825,R,ugm-3,1.39137,R,ugm-3,3.88799,R,ugm-3,4.505,R,ugm-3 (Ref.eq),1.44332,R,ugm-3
01-01-2025,02:00,1.775,R,ugm-3 (FIDAS),0.62257,R,ugm-3,0.87937,R,ugm-3,1.83396,R,ugm-3,1.061,R,ugm-3 (Ref.eq),1.27352,R,ugm-3
01-01-2025,03:00,1.250,R,ugm-3 (FIDAS),0.61060,R,ugm-3,1.42958,R,ugm-3,2.36581,R,ugm-3,0.802,R,ugm-3 (Ref.eq),1.01882,R,ugm-3
01-01-2025,04:00,1.100,R,ugm-3 (FIDAS),0.61060,R,ugm-3,1.04444,R,ugm-3,1.98068,R,ugm-3,0.542,R,ugm-3 (Ref.eq),1.27352,R,ugm-3
01-01-2025,05:00,0.975,R,ugm-3 (FIDAS),0.96977,R,ugm-3,1.09892,R,ugm-3,2.58588,R,ugm-3,0.448,R,ugm-3 (Ref.eq),1.14617,R,ugm-3
01-01-2025,06:00,0.950,R,ugm-3 (FIDAS),0.71835,R,ugm-3,2.30971,R,ugm-3,3.41116,R,ugm-3,0.377,R,ugm-3 (Ref.eq),0.76411,R,ugm-3
01-01-2025,07:00,0.400,R,ugm-3 (FIDAS),1.29303,R,ugm-3,1.53859,R,ugm-3,3.52120,R,ugm-3,0.118,R,ugm-3 (Ref.eq),0.63676,R,ugm-3
01-01-2025,08:00,0.325,R,ugm-3 (FIDAS),1.18527,R,ugm-3,2.30902,R,ugm-3,4.12641,R,ugm-3,0.165,R,ugm-3 (Ref.eq),0.70044,R,ugm-3
01-01-2025,09:00,1.300,R,ugm-3 (FIDAS),1.54445,R,ugm-3,1.59323,R,ugm-3,3.96135,R,ugm-3,0.684,R,ugm-3 (Ref.eq),0.31838,R,ugm-3
01-01-2025,10:00,5.375,R,ugm-3 (FIDAS),1.04160,R,ugm-3,0.93376,R,ugm-3,2.53086,R,ugm-3,2.311,R,ugm-3 (Ref.eq),0.38206,R,ugm-3
01-01-2025,11:00,5.150,R,ugm-3 (FIDAS),1.07752,R,ugm-3,1.53891,R,ugm-3,3.19109,R,ugm-3,2.594,R,ugm-3 (Ref.eq),0.44573,R,ugm-3
01-01-2025,12:00,4.675,R,ugm-3 (FIDAS),1.65220,R,ugm-3,2.36334,R,ugm-3,4.89667,R,ugm-3,2.359,R,ugm-3 (Ref.eq),0.50941,R,ugm-3
01-01-2025,13:00,2.375,R,ugm-3 (FIDAS),1.07752,R,ugm-3,1.59393,R,ugm-3,3.24611,R,ugm-3,1.392,R,ugm-3 (Ref.eq),0.50941,R,ugm-3
01-01-2025,14:00,1.250,R,ugm-3 (FIDAS),1.47261,R,ugm-3,1.75840,R,ugm-3,4.01637,R,ugm-3,0.660,R,ugm-3 (Ref.eq),0.44573,R,ugm-3
01-01-2025,15:00,2.175,R,ugm-3 (FIDAS),2.22688,R,ugm-3,4.28813,R,ugm-3,7.70263,R,ugm-3,1.179,R,ugm-3 (Ref.eq),0.38206,R,ugm-3
01-01-2025,16:00,3.600,R,ugm-3 (FIDAS),1.90362,R,ugm-3,8.19495,R,ugm-3,11.11379,R,ugm-3,2.028,R,ugm-3 (Ref.eq),0.63676,R,ugm-3
01-01-2025,17:00,3.225,R,ugm-3 (FIDAS),1.32894,R,ugm-3,7.48056,R,ugm-3,9.51825,R,ugm-3,1.698,R,ugm-3 (Ref.eq),0.25470,R,ugm-3
01-01-2025,18:00,5.000,R,ugm-3 (FIDAS),2.33463,R,ugm-3,6.48872,R,ugm-3,10.06843,R,ugm-3,2.335,R,ugm-3 (Ref.eq),0.38206,R,ugm-3
