Data supplied by UK-AIR on 17/3/2026
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Narberth,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit
 
01-01-2025,01:00,17.850,R,ugm-3 (FIDAS),0.18252,R,ugm-3,0.45637,R,ugm-3,0.73622,R,ugm-3,83.61983,R,ugm-3,10.307,R,ugm-3 (Ref.eq),0.36366,R,ugm-3
01-01-2025,02:00,16.275,R,ugm-3 (FIDAS),0.31940,R,ugm-3,0.38034,R,ugm-3,0.87008,R,ugm-3,85.01682,R,ugm-3,9.693,R,ugm-3 (Ref.eq),0.09092,R,ugm-3
01-01-2025,03:00,15.675,R,ugm-3 (FIDAS),0.27377,R,ugm-3,0.53396,R,ugm-3,0.95374,R,ugm-3,85.41596,R,ugm-3,9.670,R,ugm-3 (Ref.eq),0.20456,R,ugm-3
01-01-2025,04:00,16.425,R,ugm-3 (FIDAS),0.41066,R,ugm-3,0.17348,R,ugm-3,0.80315,R,ugm-3,86.91274,R,ugm-3,9.882,R,ugm-3 (Ref.eq),0.34093,R,ugm-3
01-01-2025,05:00,16.125,R,ugm-3 (FIDAS),0.17111,R,ugm-3,0.28980,R,ugm-3,0.55217,R,ugm-3,87.16220,R,ugm-3,10.448,R,ugm-3 (Ref.eq),0.47731,R,ugm-3
01-01-2025,06:00,12.400,R,ugm-3 (FIDAS),0.30800,R,ugm-3,0.38109,R,ugm-3,0.85335,R,ugm-3,87.56134,R,ugm-3,8.538,R,ugm-3 (Ref.eq),0.54549,R,ugm-3
01-01-2025,07:00,3.950,R,ugm-3 (FIDAS),0.20533,R,ugm-3,0.43812,R,ugm-3,0.75295,R,ugm-3,77.38327,R,ugm-3,1.722,R,ugm-3 (Ref.eq),0.61368,R,ugm-3
01-01-2025,08:00,3.350,R,ugm-3 (FIDAS),0.30800,R,ugm-3,0.58188,R,ugm-3,1.05413,R,ugm-3,75.53725,R,ugm-3,1.321,R,ugm-3 (Ref.eq),0.06819,R,ugm-3
01-01-2025,09:00,7.425,R,ugm-3 (FIDAS),0.23955,R,ugm-3,0.58643,R,ugm-3,0.95374,R,ugm-3,77.53295,R,ugm-3,3.090,R,ugm-3 (Ref.eq),0.13637,R,ugm-3
01-01-2025,10:00,6.425,R,ugm-3 (FIDAS),0.20533,R,ugm-3,0.68910,R,ugm-3,1.00394,R,ugm-3,76.93424,R,ugm-3,2.665,R,ugm-3 (Ref.eq),0.27275,R,ugm-3
01-01-2025,11:00,7.075,R,ugm-3 (FIDAS),0.37644,R,ugm-3,0.57733,R,ugm-3,1.15453,R,ugm-3,77.98198,R,ugm-3,3.491,R,ugm-3 (Ref.eq),0.54549,R,ugm-3
01-01-2025,12:00,9.150,R,ugm-3 (FIDAS),0.27377,R,ugm-3,0.58416,R,ugm-3,1.00394,R,ugm-3,75.68692,R,ugm-3,4.458,R,ugm-3 (Ref.eq),0.68187,R,ugm-3
01-01-2025,13:00,17.425,R,ugm-3 (FIDAS),0.34222,R,ugm-3,0.88079,R,ugm-3,1.40551,R,ugm-3,74.19015,R,ugm-3,7.028,R,ugm-3 (Ref.eq),0.61368,R,ugm-3
01-01-2025,14:00,21.100,R,ugm-3 (FIDAS),0.27377,R,ugm-3,0.93553,R,ugm-3,1.35531,R,ugm-3,72.54370,R,ugm-3,7.807,R,ugm-3 (Ref.eq),0.47731,R,ugm-3
01-01-2025,15:00,18.750,R,ugm-3 (FIDAS),0.37644,R,ugm-3,0.77812,R,ugm-3,1.35531,R,ugm-3,72.84305,R,ugm-3,7.524,R,ugm-3 (Ref.eq),0.34093,R,ugm-3
01-01-2025,16:00,15.950,R,ugm-3 (FIDAS),0.34222,R,ugm-3,1.23216,R,ugm-3,1.75689,R,ugm-3,68.90154,R,ugm-3,6.745,R,ugm-3 (Ref.eq),0.34093,R,ugm-3
