latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
51.68174,-5.02927,297.43,0.43,0.62,2026-07-31,134,N,VIIRS,n,2.0NRT,285.29,0.69,N
51.3961,-3.39272,302.93,0.49,0.49,2026-07-31,317,N,VIIRS,n,2.0NRT,281.08,1.15,N
51.68304,-5.03075,303.36,0.42,0.45,2026-07-31,317,N,VIIRS,n,2.0NRT,288.14,1.43,N
51.64315,-3.44522,342.92,0.38,0.36,2026-07-31,1306,N,VIIRS,n,2.0NRT,307.87,6.26,D
51.64383,-4.94937,347.79,0.39,0.36,2026-07-31,1306,N,VIIRS,n,2.0NRT,300.5,8.92,D
51.64642,-3.44652,342.7,0.38,0.36,2026-07-31,1306,N,VIIRS,n,2.0NRT,303.53,6.26,D
51.70214,-4.99847,348.45,0.39,0.36,2026-07-31,1306,N,VIIRS,n,2.0NRT,298.21,5.56,D
51.74911,-3.24409,335.97,0.38,0.36,2026-07-31,1306,N,VIIRS,n,2.0NRT,301.73,2.29,D
51.7502,-4.79418,343.92,0.39,0.36,2026-07-31,1306,N,VIIRS,n,2.0NRT,298.09,2.11,D
51.81482,-4.91923,348.71,0.39,0.36,2026-07-31,1306,N,VIIRS,n,2.0NRT,298.12,3.91,D
51.81715,-4.92618,357.45,0.39,0.36,2026-07-31,1306,N,VIIRS,l,2.0NRT,300.67,10.48,D
51.819,-4.9151,341.79,0.39,0.36,2026-07-31,1306,N,VIIRS,n,2.0NRT,300.23,12.87,D
51.68237,-5.03017,296.61,0.68,0.74,2026-08-01,117,N,VIIRS,n,2.0NRT,284.57,1.53,N
51.39864,-3.3963,305.09,0.5,0.41,2026-08-01,258,N,VIIRS,n,2.0NRT,282.07,1.14,N
51.62382,-2.9682,329.41,0.51,0.41,2026-08-01,258,N,VIIRS,n,2.0NRT,282.79,4.88,N
51.62741,-2.96612,297.87,0.51,0.41,2026-08-01,258,N,VIIRS,n,2.0NRT,282.21,0.52,N
51.68327,-5.02934,306.43,0.44,0.38,2026-08-01,258,N,VIIRS,n,2.0NRT,290.36,1.41,N
51.6857,-5.02821,298.96,0.44,0.38,2026-08-01,258,N,VIIRS,n,2.0NRT,288.04,0.53,N
51.39819,-3.39179,308.51,0.39,0.36,2026-08-02,241,N,VIIRS,n,2.0NRT,283.09,0.75,N
51.48052,-3.139,314.05,0.39,0.36,2026-08-02,241,N,VIIRS,n,2.0NRT,286.64,1.34,N
51.6532,-3.41819,298.17,0.39,0.36,2026-08-02,241,N,VIIRS,n,2.0NRT,280.64,1.75,N
51.65646,-3.41676,333.61,0.39,0.36,2026-08-02,241,N,VIIRS,n,2.0NRT,288.04,1.75,N
51.6574,-3.42226,301.38,0.39,0.36,2026-08-02,241,N,VIIRS,n,2.0NRT,282.73,1.75,N
51.68355,-5.03221,295.45,0.38,0.36,2026-08-02,241,N,VIIRS,n,2.0NRT,282.31,1,N
